,Author,Date,body
42,chris knox,2016-08-04,used the web site from an android tablet yield constant nagging to use the   and no wonder the get access to all your contact and mobile data  but some thing only work from the web e g  writing a recommendation see an attachment in a message  the build in browser doesn t always work either  the itself be stable and not hard to use just frustrate in its limitations  p s  uninstal due to limitation and the many permission it demands  i ll ignore the nagging 
43,carole foland,2016-08-04,the best way
44,anbazhagan ajaganandam,2016-08-04,more helpful for job seeker
45,alanleepetty petty,2016-08-04,thankfully alanleepettyapk
46,eric zoerink,2016-08-04,good place to meet business orientated person
47,anal sharma,2016-08-04,just don t wana use this such a shame 
48,craig foucht,2016-08-04,great networking !
49,pankaj kumar,2016-08-04,great professional connect plateform
50,hawk datrucker,2016-08-04,cool 
51,carol mackay,2016-08-04,its okay
52,000lfk la,2016-08-04,easy to use be it feature good way to expand my network
53,nazmul islam,2016-08-04,thank
54,daoud sarbaz,2016-08-04,it s good
55,rohit saini,2016-08-04,i love it
56,rohit parhi,2016-08-04,it s goog
57,hariharan selveraj,2016-08-03,use full
58,shelle schnell,2016-08-03,cool
59,faheem iqbal,2016-08-03,great
60,karan enok,2016-08-03,expect more
61,al ghurabaa,2016-08-03,good thank s
62,chandra sekher raman,2016-08-03,sekher
63,jalil khan,2016-08-03,jalil khan
64,varun agrawal,2016-08-03,good !
65,vikram bhati,2016-08-03,it s get hange many times  feel irritating  please improve performance wise  let me know i will fix ur issues 
66,brian teves,2016-08-03,can t pass security check as it keep bring me back in a loop to the login page  be useless on phone  s6 
67,lets share,2016-08-03,shame this have login problem 
68,ahmed a qader,2016-08-03,it s good
69,john okpekwu,2016-08-03,very good
70,henry h cameron,2016-08-03,supply  u0026amp  pushboat pilot
71,lela nesbitt,2016-08-03,hi
72,mahesh bhatt,2016-08-03,good
73,peter mdawe,2016-08-03,peter
74,sharaf u din,2016-08-03,amazing ha baaghi yaaar
75,nandkishor verma,2016-08-03,nice
76,angie swinger,2016-08-03,mama bear
77,constance van niekerk,2016-08-03,handy
78,janvi kalsariya,2016-08-03,good
79,abhishek sharma,2016-08-03,best professional lication
80,a google user,2016-08-03,notification don t work when i get messages  on the other hand thank you for fix the contact photos  my contact sync from to my phone now show the pictures 
81,khushboo singh,2016-08-03,sr  manager hr
82,adam jafar,2016-08-03,excellent
83,amy schramm,2016-08-03,win t let me update certain things 
84,sreekanth nair,2016-08-03,uninstalled due to stupid bot checker  
85,faizal hashim,2016-08-03,nice experience
86,vinay patil,2016-08-03,nice one
87,hori ei2kk,2016-08-03,force to change password 25 quick security check if i m not a robot and still not in nice my account be realy safe   no one can login even me!!! one hour later still not loge in rubish
88,teboho ndabankulu,2016-08-03,very good and i love it
89,rani rice,2016-08-03,totally
90,amish gandhi,2016-08-03,this be terrible  every other time i open the it ll say my profile isn t available
91,joe piunt,2016-08-03,be atrociouswhat the hell do you do? my credential work on ever browser but your pos lg g5 brand new 6 0 and your be now junk???
92,akhtar khan,2016-08-03,all be well
93,christopher lowson,2016-08-03,viewing job post freeze the phone and make the sluggish
94,james achille,2016-08-03,jimmy achille
95,simon watton,2016-08-03,absolutely unusable update be mean to bring improvements  be this an attempt to kill of mr gates!!
96,robert gledhill,2016-08-03,try reinstal and it do not fix the loading problem
97,dimitare nedeltchev,2016-08-03,say something break look like we have take the wrong exit here delete
98,sriram devata,2016-08-03,the latest version doesn t load any feed doesn t display notifications  all i see be a retry button
99,imane mahlous,2016-08-03,i get a notification only to see a sorry unable to load the feed message  a bit of a shame 
100,toby campen,2016-08-03,after a number of attempt the wouldn t load my feed after logging in  same issue as many other user
101,sydney swain,2016-08-03,for some reason be not recognize my internet connection anymore  no other have this issue and i can still browse used my internet explorer  this just start hen today 
102,janette cooper,2016-08-03,love it
103,travis delong,2016-08-03,the will not load anything after latest update  it only say retry 
104,olasunkanmi sciurry,2016-08-03,nice too sign in
105,alexey rogulin,2016-08-03,can t use web version on mobile device  it always redirect to play store 
106,suresh narayan uchil,2016-08-03,manage partner
107,kristinn reinhard,2016-08-03,but i get the oops something break way to often  you guy be smart  you should be able to fix it 
108,john soby,2016-08-03,it be constantly pull at anyone who ever register as a irritating and misleading ploy to gain marketing momentum  i can t stand be used for their gain  so i uninstal that overly zealous cry and never look back  until now to write an honest review 
109,suenu tehon,2016-08-03,good mba tool
110,christine acosta,2016-08-03,horn drivin funk 
111,sutarno wijaya,2016-08-03,international
112,mohammad taufan rachman,2016-08-03,great
113,beverley bailey,2016-08-03,informative
114,bharat seth,2016-08-03,excellent
115,moses james talibita,2016-08-03,i can now write opeds or tell my story
116,shahzad ahmad,2016-08-03,this lication be design professionally and customise view for professional and job seeker as well  excellent job done 
117,mayur baldha,2016-08-03,your inbrowser be too slow in loading web page  please allow atleast to open link in external browsers 
118,hemant jain,2016-08-03,skipper limited
119,joy simon,2016-08-03,mr  joy kuroor sin my opinionn loved person and surrounding
120,arivunambi pugalendhi,2016-08-03,super
121,arul kumar,2016-08-03,useful lication
122,bolarinwa durosinmietti,2016-08-03,perfect
123,pratik bhange,2016-08-02,good
124,vikram thakor,2016-08-02,
125,simon grant,2016-08-02,what s wrong with the web version? and i hate be continually pressure into have the   just take a no for a no please!
126,yamakanta nyaupane,2016-08-02,founderdirector
127,cletus okwukalazu,2016-08-02,very good
128,ashish saxena,2016-08-02,i be get some problem in login this while i can login through browser  
129,basudev bahadur,2016-08-02,good for all
130,shivam sharma,2016-08-02,try it!
131,fred agholor,2016-08-02,connection
132,anand prakash,2016-08-02,job
133,gaurav kanet,2016-08-02,best for connect with person in professional network also useful for find jobs  
134,peter john greyling,2016-08-02,white
135,aksh tiwari,2016-08-02,just awesome
136,david derby,2016-08-02,pathetic performance  can t load even a single company page 
137,ahmad alhaje,2016-08-02,work well
138,altaf rahimi,2016-08-02,love it
139,midas krazy,2016-08-02,this be a very good platform for we person to stay connected 
140,saurabh varma,2016-08-02,this provide a nice platform
141,aadil qureshi,2016-08-02,good
142,bheeshma mali,2016-08-02,i doubt whether really help in find good jobs 
143,rolex legarda,2016-08-02,google  crome
144,jenn cronin,2016-08-02,samsung galaxy edge s7
145,sanjeev kumar,2016-08-02,great experience
146,sandy hill,2016-08-02,i m in
147,grace overton,2016-08-02,nice
148,paul carrier,2016-08-02,unfortunately be become too much like facebook  the user be the one who control this 
149,steve cassidy,2016-08-02,retire
150,prince lamptey,2016-08-02,it have help bring the office to our fingertips  kudo
151,susan miller,2016-08-02,ask if you be a robot then you pick picture and it just hang be ask you again to pick pictures  the picture be tooooo small for a large phone 
152,nugroho febrian,2016-08-02,good
153,rohit sharma,2016-08-02,love it
154,maria veronica defeo,2016-08-02,connect person
155,faldieh oostendorp,2016-08-02,its magic
156,wida ceriadevi,2016-08-02,asap
157,santu ali sekh,2016-08-02,good
158,sammy rono,2016-08-02,good  
159,vedia baldwin biggins,2016-08-02,when fb let s you down be right on time 
160,david larue,2016-08-02,work fine
161,sandar newton,2016-08-02,cna nursing student
162,vicky roberts,2016-08-02,repeatedly crash hate to even try to respond to message or even open anymore 
163,md wakar alam alam,2016-08-02,love
164,adewunmi anuoluwapo,2016-08-02,i love it
165,digvijay negi,2016-08-02,    
166,rameesh mohideen,2016-08-02,so useful
167,jyoti singh,2016-08-02,really good
168,metrovibes 360,2016-08-02,why can t i login to my account anymore after i change my password soo frustrate to be tell wrong usernamepassword when i know enter the correct email and password 
169,san bholay,2016-08-02,xxx
170,ana laura guti  rrez,2016-08-02,i can t log in to my account used this   whenever i type my password i get an invalid login message  i can log in without trouble used my laptop and the same password 
171,muhammad jibril,2016-08-02,not bad
172,cabdiqaadir barwaaqo,2016-08-02,
173,thomas wade,2016-08-02,stop force me to get link to your crap mobile when i open the desktop site link from my mobile email 
174,john hauer,2016-08-02,what s with these new person in the news notifications? how about a switch to turn them off  very annoying 
175,aditya bimantoro,2016-08-02,love it
176,a google user,2016-08-02,i verify the image and then get a white screen and nothing hens  what gives?
177,nasiru sule,2016-08-02,wider way of connect people 
178,susan umaru,2016-08-02,very good
179,james gwyn,2016-08-02,employee and lr spec
180,anita yadav,2016-08-02,it crash everytime within 10 second of opening  i also report the same several time but no help till now 
181,ramakotaiah a,2016-08-02,it be good
182,kailash kumar chouhan,2016-08-02,it be good
183,mbrk sastry,2016-08-02,good 
184,sam brown,2016-08-02,construction  u0026amp  property management
185,a google user,2016-08-02,and what a handy
186,pankaj mannan,2016-08-02,good for professional networking and job find
187,himanshu kardam,2016-08-02, 
188,satnam sadeora,2016-08-02,just not upload the new shares 
189,tatay games,2016-08-02,1st it ask mr to reset my password then im stock on a loop on select the image of a house!!!! i selecete everything its like bug!!!!!
190,jean thomas,2016-08-02,review by larmie
191,yogesh pandey,2016-08-02,one place solution and good for professional 
192,kellie king,2016-08-02,how do i close window
193,ritika parmar,2016-08-02,worse
194,alex padden,2016-08-02,dosent seem to be a way to view post in date order 
195,ashish kashyap,2016-08-02, 
196,nora naicker,2016-08-02,poor lication
197,prathap hs,2016-08-01,good
198,nikhil kolambil,2016-08-01,super
199,h fakhr,2016-08-01,good
200,saras mehta,2016-08-01,production manager
201,thakur ji india wale,2016-08-01,nic
202,anil sharma,2016-08-01,five stary
203,naseem zaidi,2016-08-01,civil engineer
204,amro j a,2016-08-01,can t sign in  keep logging out after answer the security question
205,roche jesus ambray,2016-08-01,very interisting i love it
206,yashraj singh bisht,2016-08-01,useful to find job n recruiter
207,eteng obeten,2016-08-01,easy to download
208,kaushal singh,2016-08-01,cool
209,debra lynn salazar,2016-08-01,who be and where the administrator hp  answer my ? i be mama duke debra lynn salazar 223 i be a parent  and what i have hear be that you cia corps   will target us and kill us   you sic industryindustrial infared  
210,constance van niekerk,2016-08-01,not open just a white screen!
211,grace gakii,2016-08-01,i have try signing in but it tell me i have put the wrong password username which isn t true  solve this fast people!!!!
212,alexey nuyanzin,2016-08-01,f k off with your antirobot check which be never end and keep locking the screen  uninstall!
213,manish kumar,2016-08-01,veri nice
214,kiran choudhary,2016-08-01,very bad
215,jeff kleindienst,2016-08-01,responsible for any activity of the company both administrative and operational 
216,daramola tajudeen,2016-08-01,i love it
217,ravi thapak,2016-08-01,good or effective
218,chen raber,2016-08-01,load process just spin forever
219,moin shaikh,2016-08-01,good for know peiple in your feild
220,awais jutt,2016-08-01,how i can use this can anybody tell me
221,nyon smith,2016-08-01,used to work well  now all it do be freeze  please fix your so that u can use it 
222,looping 4ever,2016-08-01,worthy
223,rickson d manix,2016-08-01,be the popular connect network over the world  you guy can have make the good  but instead this suck badly its not at all functional  very bad group
224,sandip maitra,2016-08-01,very useful for professionals!
225,bisi lawal,2016-08-01,unable to connect sometimes
226,tarik sidiki,2016-08-01,not the itself but the way they offer you to connect with other professionals  other professional be not interested in connect with anyone let alone give anyone the time of day to sit on this useless pos website for hour on end  please do yourself a favor and reveal to the public how exactly you make your money by rip off desperate fool who think that the economy will somehow get better without their contribution
227,maria hernandez,2016-08-01,doesn tt let me login frustrating!!
228,m a kochu paul m a kochu paul,2016-08-01,very positive step be take for help all who be actually require
229,bhavesh gudhka,2016-08-01,one of the best with great ui ux
230,alexandru barna,2016-08-01,today i receive a push notification to accept a friend request and i accept it from the drop down  the lication then send invite to everyone in my work e mail account without my consent  i will now have to contact my business partner and explain to them why i be so bold as to ask them to be part of my network  this lication now qualify as spam generator and i recommend person to remove it from their phone or at the very least disable it s access from their email account 
231,pradeep modak,2016-08-01,useful and helpful n interesting too
232,gourabmoy chaki,2016-08-01,gourabmoy chaki
233,malak kakar,2016-08-01,varee nice
234,nitoshia roberson,2016-08-01,oh so invite
235,shubham kumar pandey,2016-08-01,very nice     
236,cai fc86,2016-08-01,good
237,james keating,2016-08-01,can t login tell it s a bad usernamepassword but i can get in via the web  give up 
238,lee dann,2016-08-01,doesn t sort post in any kind of order doesn t allow you to choose how to sort e g  most recent  if i select a photo or post to view then go back to the timeline it scroll back to the top of the feed rather than remember the previous position!
239,moses msiza,2016-08-01,nice somplify and easy to use very useful this be how mobile s should be
240,belal mahmod,2016-08-01,its amazing
241,akoto lampard fred villars,2016-08-01,best place to meet person
242,                      ,2016-08-01,nice
243,julian davidson,2016-08-01,i don t want the   just let me use the browser  stop try to get me to install the every time i try to use link in from a notification email  drive user away 
244,amarilis paz,2016-08-01,nice for job and reference
245,toufik kerchouche,2016-08-01,i love it
246,kathy figueroa,2016-08-01,great !
247,lucy bloom hagerty,2016-08-01,a great networking site!
248,may yinn ooi,2016-08-01,please fix the broken link in respect of the contact icon 
249,leticia chamone,2016-08-01,very restricted to non pay account
250,alfonso ting,2016-08-01,an answer to your congested system network  
251,hyacinth honrales,2016-08-01,link
252,nature true,2016-08-01,pl improve it
253,veasna svay,2016-08-01,production mover
254,jonathan holm,2016-08-01,the title say it all  nothing but spam since signing up  u0026amp  a huge data usage hog
255,rukmangadha reddy,2016-08-01,good
256,joe machado,2016-08-01,voice over actor
257,chilaka ramesh,2016-08-01,very good website
258,linda sutton,2016-08-01,well do
259,jimmy agrahari emii,2016-08-01,i m feel good
260,salman khan,2016-08-01,poor
261,matt vergin,2016-08-01,your suck the post we share cant be access the newsfeed be severely never updated  the notification when update disear and the doesn t refresh on its own 
262,prakash gopi,2016-08-01,lub it
263,mohamed el sherbiney,2016-08-01,brilliant thank dudes
264,boyan syarov,2016-08-01,pretty poor overall on android 
265,hitesh prajapati,2016-08-01,good
266,saman jain,2016-07-31,buggiest ever!
267,jose luis solis,2016-07-31,customer service dangerous good specialist
268,baidyanath manna,2016-07-31,best
269,rajesh sharma,2016-07-31,nice platform for emerge proffessional
270,arun vijayan,2016-07-31,it be mainly useful for fresher polytechnic and engineering  
271,ashish sharma,2016-07-31,good way to connect with the professional people
272,menj1980,2016-07-31,do what it suppose to do and keep me connect on the go 
273,sajjad khan,2016-07-31,good
274,nyatwori gisemba,2016-07-31,i just like it  superb
275,mukesh,2016-07-31,mukesh
276,desmond sillands,2016-07-31,taberah enterprise trading
277,raghubir singh,2016-07-31,raerly used this
278,parul kumar,2016-07-31,gr8
279,sagar jan junejo,2016-07-31,4 2
280,uppunooti naresh,2016-07-31,nice communication channel
281,fred wanani,2016-07-31,good page
282,wise brain,2016-07-31,very good
283,cass long,2016-07-31,please make it easy so i ca so i can send email to all my contact which be 250 person follow me how can i send one email to all
284,susmitha lakshmi,2016-07-31,super  u0026amp  very useful
285,lowens desir,2016-07-31,good network
286,krishnarjun gubba,2016-07-31,it help to gather useful information  u0026amp  also for search job
287,muhammad sidik,2016-07-31,good
288,david mvurayehore,2016-07-31,best site
289,tomas misevi  ius,2016-07-31,can t change notification sound  5 star back when this be implemented  thanks!
290,nate morgan,2016-07-31,overall the be good but i have some suggestion for you  the feed be disorganized and it s different every time you refresh with more random stuff  i can t edit link account such as a business account?
291,angel clemente,2016-07-31,jos  
292,niels swimberghe,2016-07-31,notification not working anymore
293,ratnadip jambhulkar,2016-07-31,good working
294,korede hanmandlu,2016-07-31,good one
295,osu tanimu,2016-07-31,better experience
296,betty guerra,2016-07-31,wera
297,oluwaseun ajayi,2016-07-31,fantastically great
298,efren flores,2016-07-31,easy to communicate person even you didn t know her
299,mbulelo gumede,2016-07-31,great
300,daniel nobles,2016-07-31,love it great
301,rosalyn behera,2016-07-31,good
302,nana kweku abban,2016-07-31,work for other and would work for you also
303,emilly kirathe,2016-07-31,keep it up
304,shakti mishra,2016-07-31,show must go on 
305,samauria tatum,2016-07-31,website
306,brandon tan,2016-07-31,rubbish scamming company  what a disgrace
307,vikas awadhwal,2016-07-31,excellent for startup service
308,danny roach,2016-07-31,since my phone update i cant log in even after delete and re install the samsung galaxy s5
309,patttabhirami reddy vakati,2016-07-30,good
310,adrian r smith,2016-07-30,connect to my website now with the   wgoogle play     business associate 
311,melissa whitney,2016-07-30,link inn
312,gato vette,2016-07-30,who cares?
313,lokesh ranjan,2016-07-30,nice
314,ja khan,2016-07-30,excellent
315,rahul ranjan,2016-07-30,google  sign should be there unable to sign in
316,arun lal,2016-07-30,very nice
317,ravikesh kumar ravikesh,2016-07-30,i like this
318,ashish dwivedi,2016-07-30,good
319,emrul kayesh,2016-07-30,hasan
320,john ng'ambi,2016-07-30,awesome
321,yvonne harbidge,2016-07-30,my time my lesson
322,k j  neilson,2016-07-30,great site right? try to cancel business account sometime  it just go in loops  if you re in a hurry to take a resume down do not use   their support suck and be unresponsive  save yourself  use google docs  110
323,ram ii,2016-07-30,no longer know what s in for  
324,syed umair khalid,2016-07-30,y
325,ritu dhaka,2016-07-30,the be fast and easy to maintain all the update
326,muhammad irfan,2016-07-30,its a useful
327,ryan jay nagal,2016-07-30,i love
328,sonny effendhi,2016-07-30,connect employer and employee
329,navaz sharief,2016-07-30,awesome
330,samia ayesha,2016-07-30,have great tool
331,eduard khodoian,2016-07-30,lication do not start after last update with an error unfortunately have stop
332,dhanabal bala,2016-07-30,it s use for all information
333,hussein lutambi,2016-07-30,i like it
334,dilruk lasantha,2016-07-30,poor service
335,mohamed esoof,2016-07-30,fine
336,adamsyah darmanto,2016-07-30,biarkan saja
337,judah ebube,2016-07-30,be great! help networking easier 
338,neeraj kumar,2016-07-30,much gud
339,chandralok kumar,2016-07-30,this be a good conductivity arise 
340,j  brooks,2016-07-30,surfing u s a surf lesson s expression session s surf school  any one age of start 4 to5 up to adult s from beginner s to pro s  at amateur level to the professional level s whether it be from just start out w basic or that competition level to train professionally  we have all lesson s wcamp s school or just private lesson s etc 
341,juan jusino,2016-07-30,best social that i know 
342,encyclopedia brown,2016-07-30,good tool
343,nigel tyler,2016-07-30,tyler
344,ravi ramachandra,2016-07-30,director operation
345,alok malhotra,2016-07-30,love it
346,anand sharma,2016-07-30,work smoothly with new ui  
347,mayur sonagara,2016-07-30,average good
348,niks patel,2016-07-30,i like to use this
349,rr reneewalkercravenbanksshields joyce,2016-07-30,crest shield royalty
350,rochelle b,2016-07-30,it would be nice if you didn t have to use your pc to thing you should be able to do on your mobile 
351,manjeet pahadia,2016-07-30,good
352,alan daniel,2016-07-30,thank
353,nagaraj belagavi,2016-07-30,you re say that there be trial for premium version but when i try it charge me some amount 
354,nneka janet,2016-07-30,great
355,rajarshi nag,2016-07-30,useful
356,pradeep kshirsagar,2016-07-30,nice
357,sanjeev talegaonkar,2016-07-30,accutime relocation
358,andrews doraiswamy,2016-07-30,the best which help me to stay connect with my professional circle at the same time i m update with the latest technology trends 
359,siphamandla buthelezi,2016-07-30,perfect for business
360,maged moursi,2016-07-30,inbound and outbound tourism
361,faria islam,2016-07-30,system work very smooth
362,latiek harris,2016-07-30,love connect with old coworker
363,aalok bhatt,2016-07-30,beautiful way to stay connect to those that matter
364,bretagne buonaparte,2016-07-30,extremely useful for networking for employment in food industry etc
365,nagaraj sk,2016-07-30,professional networking
366,syed arshad,2016-07-29,very good aap for professional 
367,seemab jan,2016-07-29,nice s
368,vetrivel ramalingam,2016-07-29,nice and efficient to be with the update from the contact and for the sharable 
369,pawan singh,2016-07-29,alert be just consume your internet for isp benefit no update need they have contract with internet service provider isp to consume your internet datum for no reason and other brand also do same business and also with malware and keylogger development company who be keep secrete function to send your mobile data to their datum bank  you be not safe so do not keep your confidential datum in phone 
370,richard malwa,2016-07-29,kakehele limit
371,nitish bhatt,2016-07-29,excellent !
372,arvind kumar,2016-07-29,really nice
373,joseph cloutier,2016-07-29,links updates verification password changes emailsetc  etc  etc  ????? needs some serious reparation for a leading it company      
374,ashfaq ahmed,2016-07-29,as compare with other s still too slow on high config mobile as well cant run smoothly on 4gb ram need alot of work 
375,jitendra kumar,2016-07-29,talbro
376,rejo simon,2016-07-29,stay connect
377,b'vek kshatriya,2016-07-29,cant see invitations!! be almost a month now  used samsung galaxy j7 
378,om prakash vyas,2016-07-29,manager electrical maint 
379,gertrudes ecaruan,2016-07-29,love it 
380,suvajit haldar,2016-07-29,its an amazing to meet with renouned bussiness person
381,stephen morning,2016-07-29,r u0026amp d
382,zuwena nantume,2016-07-29,super woman
383,sylvia ywc,2016-07-29,teach to student n counselling for the student 
384,alisha goodner,2016-07-29,couldn t open anything without get an error message
385,james miller,2016-07-29,can no longer see my account 
386,viktor vad,2016-07-29,you be one of the top it company yet you be still unable to make this recognise the link you send in email  this way i always have to administer my contact on the pc whereas you say the mobile be also capable  fix this obvious deficiency please!
387,ashwin vavaliya,2016-07-29,best site and web but one think be it s memory space be more
388,gabino carballo,2016-07-29,useless pointless   make you want to quit link in  messaging be slow and ineffective not real time  there be always an issue or a week old update that i do not want to see again but who cares? now do not recognize my contact and say my profile be unavailable  tomorrow who knows?
389,paul kane,2016-07-29,what wrong with ?
390,emmanuel peter,2016-07-29,i looooooove it it s a map to connection 
391,rhoup abdul,2016-07-29,nice
392,andrew bryant,2016-07-29,really? who do you guy s have  u0026amp  attempt to fixupdate the ? whoever you have make it worseif that be what you guy be really try to accomplish  i can have do thatreally!!!
393,daniel dennis,2016-07-29,let s keep the business roll
394,alekhya ale,2016-07-29,it s great
395,nemah nasr,2016-07-29,link in
396,firoz firoz,2016-07-29,lo
397,ejaz ahmad,2016-07-29,love with it great s for used
398,devian jefriko riand ratuwalangon,2016-07-29,ok
399,calvin stuart wanyoto,2016-07-29,great for a career builder
400,shahram sedghi,2016-07-29,it crashes! not working!
401,adimoolam mohan,2016-07-29,slowly slowly  
402,noel grant,2016-07-29,
403,venkat srikanth pingali,2016-07-29,loving
404,archie taylor,2016-07-29,taylor logistic
405,james gibson,2016-07-29,waaaay better than facebook in my very humble opinion 
406,ronald butt,2016-07-29,intrusive on your contacts 
407,sam s,2016-07-29,i go into setting and disabled every option yet i still get push notifications  disable the till this be fix
408,matheos mastrappa,2016-07-29,freeze sometimes  other than this very nice experience 
409,rick rocuant,2016-07-29,awful design  can never seem to do simple things  constantly interrupt you with request for other linkscontacts  the emailreply constantly breaks 
410,peter denardo,2016-07-29,win t even let me save any information
411,l d laird,2016-07-29,my phone
412,surya kiran,2016-07-29,it s info be very useful
413,andrew wingfield,2016-07-29,much better on desktop  every time i open the i m remind of this 
414,krishnamurthi ramesh,2016-07-29,electronic
415,barbara walker,2016-07-29,home owner association group
416,lynn krueger,2016-07-29,house keep
417,arun bandi,2016-07-29,every time login password url and other formality be get to my nerves find something quick and safe it doesn t make an iota of difference to you if you loose an insignificant customersubscriber like me but honestly it become a n acute pain to complete all these formality and then succeed in communicatingsend your message to proper addressee suggest something fast which you can verify and forward to desire person if the content and other material pass all your norm and procedures await
418,dionisie rus,2016-07-29,whenever a notification come and i click it from the status bar the automatically log me off 
419,p sharma,2016-07-29,i lose my account its not good many problem on this i don t like it  please guy don t download this aap2 time i lose my account i don t like it its fake fake fake fake
420,rathod ankit,2016-07-29,nice
421,rajesh gajjar,2016-07-29,s r engineer
422,arun jaiswal,2016-07-28,i be signing in in linkdln but it say check your email and password
423,meshack mthimkulu mkhohlane,2016-07-28,any information
424,zeeshan raza,2016-07-28,worst
425,basu chakraborty,2016-07-28,i m hy with other thing however i feel there be one minor glitch which need to be rectified  when i try to click on a linkpage to read the article and come back to the same page again where i left used back button   this doesn t hen and it keep fee with new article and i have to scroll all the way down to find the same article  can you please see if something can be do to rectify it  i m used samsung galaxy s3 phone 
426,rubangakene piru pius,2016-07-28,like button not working and some part not responsive  maybe u should give an option to downgrade the version to the previous!!!!
427,janette nosella,2016-07-28,unable to post article from various publication as i do in the past  constant message have stopped  my endorsement be not add when i be notified 
428,dileep chaudhary,2016-07-28,ok
429,charles kyalo,2016-07-28,connect person world wide
430,shaikh parvez,2016-07-28,fff
431,mohammad sohel shekh yusuf,2016-07-28,good to connect with professional
432,a google user,2016-07-28,browser
433,jahanzab khan,2016-07-28,u can go every where in word by this
434,gajender pal,2016-07-28,i be try to sign in my mobile but it be fail plz help
435,mohammad imran shah,2016-07-28,nothing good here
436,gautam sohoni,2016-07-28,good but have become more and more sluggish on marshmallow  one of the worst s 
437,manohar mongia,2016-07-28,like the  gife information about carrier related job and connect fast with companies 
438,dane gayle,2016-07-28,it s great 
439,ann fulop,2016-07-28,retire
440,sukhnand pandey,2016-07-28,connect to each other
441,james burley,2016-07-28,can t like article used workflow
442,manoharan harding,2016-07-28,very nice
443,paul boehl,2016-07-28,used to work great but last update just freeze after the new verification check  blank screen
444,johneen fray,2016-07-28,cool
445,ezz hegazy,2016-07-28,good than ever    it s easy to get a job and know a perfect people     
446,shelly j francis,2016-07-28,really love   more standard than facebook  very useful in time utilize  great job
447,kuimba noah,2016-07-28,very nice
448,umang agrawal,2016-07-28,not smooth user experience 
449,khalid sharaiyra,2016-07-28,very very very bad do not install 
450,obert jakata,2016-07-28,it s k
451,al kahn,2016-07-28,wee ttoo
452,sunil mohite,2016-07-28,its good but can t you fix those bug off at once and do all the performance improvement ? that s why a 3 star rating 
453,haider siddiqui,2016-07-28,i like it
454,preston shewell,2016-07-28,it s a great overall but i don t like that they practically force you to download it when you try to go to link to their website on your phone 
455,anas murtaza,2016-07-28,that s a fant  stico
456,aaron ridley sr,2016-07-28,great no problem
457,amit sindwani,2016-07-28,nice for corporate update
458,subash kandasamy,2016-07-28,good
459,francisco teixeira,2016-07-28,be the slowest i have run on a galaxy s7  this be unacceptable for such an important in a top spec device 
