,Author,Date,body,Class
22,amy duncan,2016-08-08,the quit a lot  not force quit just stop casting  first it ll be invisible on my phone but keep play on the tv  then it ll quit on the tv  so annoying to have to keep pull it up again and again  wouldn t recommend,1.0
23,santhosh d,2016-08-08,on my sony xperium z3 ,1.0
24,kylie willson,2016-08-08,it over heat and no longer will cast anything and the chromecast now isnt even recognise by my phone  it say it cannot connect to the internet  and something inside of it be loose or broken  probably from it over heating cuz its cheaply made  i barely used the stupid thing and less then 6 month later its garbage  i want my money back  i feel completely rip off  id suggest buy a medium box instead of this peice of  google have no customer service  i have send message and no response back  bs!,1.0
25,david reid,2016-08-08,great for u tube and if u have netflix ,2.0
26,patrick hatrick,2016-08-08,you should be able to simply connect direct from your phone without internet or wifi,1.0
27,rauf khan,2016-08-08,hi,
28,wes mcgee,2016-08-08,constantly wifi bull,1.0
29,wilberto santiago jr,2016-08-08,money well spend      ,
30,sasi krishna,2016-08-08,resolution quality change  u0026amp  bug audio stick add audio equalizer,1.0
31,chill out,2016-08-08,it s good but when i m watch on my xbox it keep freeze for a few second and it get quite irritating,
32,som prabhat soni,2016-08-08,my kid and i love it,
33,kathy clark,2016-08-08,,
34,tomasz piekarski,2016-08-08,dobre z urzadzeniem chromecast do tv polecam ps problem znikl ze strona np zalukaj,
35,malik bilal,2016-08-08,i be very hy,
36,nam thien vo,2016-08-08,because there be so many different typea of tvs out there you should add an option to change output resolution of the chrome cast  there be many case where for ex older tv get blank screen because of this,
37,michelle connors,2016-08-08,love it,
38,stephen simpson,2016-08-08,chromecast be buggy since a recent update it now show cast mp4 movie at the wrong aspect ratio  this cause everything to look squashed horizontally e g  person look thinner than they be   this bug hen regardless of whichever i m casting from bubbleupnp or plex for example  please fix this!,1.0
39,danny gulley,2016-08-08,enough say,
40,paul higson,2016-08-08,need insert in the inventor butt crack might get better reception !!,
41,vanessa milligan,2016-08-08,awesome,
42,mark atkinson,2016-08-08,great when it works  otherwise a pain in the rear  require a reset of my router before casting can take place  this be despite phone lg g3 and chromecast both be connected  online help poor as well  such be life,
43,engaalenno lucky luciano,2016-08-08,ok okay google time to get it together i can t even change to a different wi fi signal and that s sad for you and your company because for every one complaint you re lose 20 customers  google there s an old say in promote that be better to spend a lot more now to better your product in the future or ignore them and spend a lot less and lose everything ur fan in the future so! do the right thing google make all your fan and customer very hy that they come to you and beleive in you ,
44,charles roberts,2016-08-08,latest update and chromecast audio be now a sad mess  randomly disconnect from the device leave you unable to control music without manually reset the   music doesn t load and start playback half the time  google play without cast work fine so this be entirely in the cast   do you guy beta test anything you release? device be currently a waste of 35 bucks  review change when and device actually work again ,1.0
45,orlando perez,2016-08-08,didnt work will try again,1.0
46,cody hall,2016-08-08,work great with verizon turbo 2,
47,keith zubot gephart,2016-08-08,still no search functionality for canada ,1.0
48,djabria mechtaoui,2016-08-08,love it,
49,glen shrubsall,2016-08-08,cast from within youtube but no longer cast screen  pita when update wreck what be already functioning ,
50,desiree lyons,2016-08-07,why can t i cast the screen anymore,1.0
51,swkat patwary,2016-08-07,can t say,1.0
52,beshoy safwat,2016-08-07,samsung galaxy tab not optimize yet inwish i can use it,1.0
53,donald daharu,2016-08-07,why do it cast with the highest volume? it come on really loud ,
54,davy wolfe,2016-08-07,i have the first gen chromecast and store it one i purchase a mini pc android device for my tv  the mini pc stop be able to use the hulu   i hooked my chromecast up and download the to my first gen tab 3 and it doesn t work  also try it on my old note 2 my old grand prime and nothing works  i also do a factory reset before try to cast with each device ,1.0
55,randy ozaeta,2016-08-07,wont let me cast,1.0
56,wayne sunter,2016-08-07,i love it,
57,lu ka,2016-08-07,better than le tv,
58,richard lachiver,2016-08-07,doesn t play all video in chrome window,1.0
59,ilhan sen,2016-08-07,no full hls support,
60,robin yadav,2016-08-07,no personal audio in the new update  absolutely hate the   money wasted  congratulation google ,
61,maccon xxx,2016-08-07,now i can t even cast youtube  used to be flawless about one year ago and never cause an issue  now a simple connection can t be make get stuck all the time ,1.0
62,adam levine,2016-08-07,any nexus device will not connect,1.0
63,dudley moorhead,2016-08-07,doesn t work,1.0
64,alex najera,2016-08-07,when i try to screencast it barely work and that s if it even works this need an update asap,1.0
65,nellie hernandez,2016-08-07,love it love it love it ,
66,david plant,2016-08-07,just crap,
67,tori mockford,2016-08-07,only let s me cast google play music then claim it cannot find a device when i want it to cast my screen ,
68,jackson watkins,2016-08-07,i use chromecast almost everyday  the last update really help smooth out some of the bug,1.0
69,jack 1059,2016-08-07,intermittent lock up and freeze require reboot every other time i use it  when it work it s great ,1.0
70,kimberly dukes frink,2016-08-07,suck samsung s edge 7 will not comnect to device  it qork when it want  i will invest in smart t v ,
71,andrew hanley,2016-08-07,run okay not much choice for free view can be better ,
72,ofer albanese,2016-08-07,every other device work in hotel and hospital room but google only work where google roves  fu google and your angry aggressive march toward be more uber alle than le ,
73,shayla jones,2016-08-07,get it for my dad s bday,
74,chris rosen,2016-08-07,haven t have any problem and be used it for over a year  note 4,1.0
75,octavia wallace,2016-08-06,have issue keep it connect and casting,1.0
76,anthony nichols,2016-08-06,after eight hour of just get the message device miss i give up  obviously a complete waste of money ,1.0
77,alex r ,2016-08-06,nice program,
78,zoraya ruz,2016-08-06,my chromecast win t cast even though it say ready to cast,1.0
79,                                       ,2016-08-06,,
80,mehul chelaramani,2016-08-06,my chromecast not work now,
81,the legend,2016-08-06,for serval months it s working good after that i having connection problem it s not identify my wifi i try to connect it many times but the problem still the same     ,1.0
82,jonathan singer,2016-08-06,can t delete google accounts ,
83,james ternapolski,2016-08-06,but now i may have to kill her my chromecast that be   used to work like a beaut now hardly ever work at all  have triple check every setting on my wi fi to ensure all be good on that end and it still win t connect properly  think she s about to go in the garbage,1.0
84,crm productions,2016-08-06,i have the newest version of the chromecast and i use youtube a lot but i m have trouble cast to my tv i gotta press the cast button 3x just forth to work i have restore the chromecast still do the same thing delete the still do the same thing i use my original chromecast nothing wrong just my new chromecast have bug please fix it,1.0
85,gey pezzullo,2016-08-06,since 1 2 week there be no more sound when i cast the whole screen? it do work before! please fix it asap ,1.0
86,miche  l    gruag  in,2016-08-06,win t connect my phone to my chromecast device even though it s on the same network  u0026amp  other device have no problem connecting ,1.0
87,jesse jones,2016-08-06,would not work on my nexus 6p but work fine on my old nexus 5 ,
88,kim asher,2016-08-06,couldn t connect it s own ad with both hand tie behind its back what the fuck? chrome cast device be a total rip off throw it in th a trash blah blah barf gag spew laugh out loud!,
89,marcos alvarez,2016-08-06,do this work of the internet on phone or do i need extra internet for chromcast,1.0
90,alibakhsi1396                  ,2016-08-06,ok,
91,a google user,2016-08-06,the best in entertainment for the money,
92,shamiran shamoon,2016-08-06,samira12,
93,steve carroll,2016-08-06,this is a great product   5 stars! it turned my tv into a smart tv  it had problems for a few weeks in july but it is working flawlessly now  i tried it and liked it so much that i got one for my mom too   35 very well spent i ve told all my friends and family about it ,
94,kristopher duenas,2016-08-06,why be google cast oftenly disconnect if used the screen cast option and my tablet suddenly restart after the disconnection? please fix this immediately  thank you ,1.0
95,luis garcia,2016-08-05,her away for some time she need to change ok,
96,shawn hood,2016-08-05,great functionality but limit by google to require internet  as a portable device to use anywhere it would have be great e g  in hotel at relative house without internet in remote location etc,1.0
97,rajat singhal,2016-08-05,google cast and chromescast be a revolutionary product  they have bring entertainment in my home to next level  i love to cast pic video in my mobile to my lead tv  i be also able to give presentation easily  seamless opportunities   pls keep it simple and do not mess up with this and device   ,
98,grace okech,2016-08-05,the best make lt easy to watch utube love it love it   love it ,
99,giammarco valenti,2016-08-05,it simply doesn t work  i don t know why it cannot connect with the chromecast device  the only feature that device have be to make me angry ,1.0
100,ron little,2016-08-05,this thing have real potential but it doesn t work with google own s like youtube or youtube red   that s strange  i guess i ll just root it to suit my needs  they be to slow  hurry google a big guy be come with thing you have never seen  laugh out loud,
101,ryan urbanec,2016-08-05,be very unorganized need to have a tv menu for content off of mobile device like le tv  glitch when try to cast off some s the show or movie work great in but will not cast  need more free content why try to charge for so much again compare to your competitor le this be a sub par device!,1.0
102,micah barkley,2016-08-05,it barely even work,1.0
103,debbie hatten,2016-08-05,for some mysterious reason the device i want doesn t show up and then i have to uninstall chromecast or netflix or both over and over until finally i get the device name i want to use  very frustrating ,1.0
104,oralia vela,2016-08-05,wont let me mirror my tablet,1.0
105,dom hall,2016-08-05,i love to watch anime on my tv! !!,
106,john poffenberger,2016-08-05,we keep try to watch video then we get knock off very frustrating i have a top of the line router with 100m service there should be no excuse for that to constantly hen ,1.0
107,everyday_ photosandmusic,2016-08-05,it s not let me do anything anymore ,1.0
108,romano canevari,2016-08-05,why do it come up with an error msg when try to cast from the bbc iplayer? no problem with youtube or filmon ,1.0
109,nicole walker,2016-08-05,it work great on all of my other mobilize device but it just stop work on my galaxy 6 edge  it act like it be ready to cast and even display to the tv but give an error on my mobile that it can detect a device????? this need to be fixed ,1.0
110,adrian novella,2016-08-05,good,
111,junior k,2016-08-05,so wussupwith,
112,shaqra 7elwa,2016-08-05,this very good,
113,brittne ortega,2016-08-05,i have used my chrome cast for awhile now but within minute of connect it say cast screen have stopped  it s not too often i can use it anymore  i used this for all my tv view pleasure  please help me fix it ,1.0
114,lawrence ha,2016-08-05,movie companion,
115,a google user,2016-08-04,win t connect to latest version if air server which support  ,1.0
116,hiram lo,2016-08-04,mirror anything on your cellular device to the big screen with no complication great work!,1.0
117,benn uchiha,2016-08-04,but please add a way to use audio on your phone while cast on screen ,1.0
118,syed hussain ahmed zaidi,2016-08-04,great creative device but need a lot of improvement as sometimes cannot connect to wifi and doesn t show available wifi  please provide some update,1.0
119,catherine lennon,2016-08-04,win t pick up my device ever since i upgrade to a samsung s7 ,1.0
120,balaji ambati,2016-08-04,it have just one job to do and it struggle to connect  once connect it s all good,
121,milux nixon,2016-08-04,stick on connect to chrome cast so i can t set it up  even on new phone that haven t be modified ,1.0
122,myker rice,2016-08-04,i want chromecast to be fully functional offline,1.0
123,lorraine mazzocchi,2016-08-04,about a month ago i start have issue with my chromecast connecting  i have 2 of the first generation chromecast and never have a problem  now i can t cast my screen at all they don t even show on my computer anymore  netflix seem to work almost all the time as do shomi but youtube be hit and miss  what hen i ve try factory reset go through all the troubleshooting advice and no luck  fix whatever you do to it so i can love it again!,1.0
124,tom tessmer,2016-08-04,buy for wife,
125,billy robbins,2016-08-04,this recent update reverse the improvement to remember your home device and now require pin entry once again be a huge drawback  sadness ,1.0
126,lee woods,2016-08-04,please add functionality to the   i would suggest add the available s install on the nexus player or mobile device as available to choose within the   also i suggest create a digital tv guide that would work on both android tv box and other android device like google nexus phones  the idea would be to let user see what kind of programming be available in video s make by the like of hbo netflix playstation vue and espn without have to open up each individually,
127,jason vculek,2016-08-04,cast to tv wouldn t work after update but google s support help get it go again! thank you!,1.0
128,paula davis,2016-08-04,i originally buy one for my daughter  then i end get one for my son and my boyfriend video crazy   casting from my old phone be horrible  however work perfectly with my samsung ,
129,ahbab murtoza,2016-08-04,work perfectly smooth,1.0
130,antawn colon velez,2016-08-03,best apk ever! i wont give up with the apk!!!        ,1.0
131,nelson gentry78,2016-08-03,sartz,
132,keith jones,2016-08-03,i like it for netflix however it go out almost every other day and i can t connect to the tv  so i have to remove it and install it again  it work well after i do that  it s just frustrating but overall it s a good fit for me ,1.0
133,samantha thompson,2016-08-03,please update this   i never have any issue until recently when it stop show me the cast option in the drop down menu and when i use our other phone a galaxy s3 it give me yhe option but doesn t ever cast screen  it say its connected when its not and then when i try to disconnect it wont  in other word this have turn to crap and need a better update ,1.0
134,lord rafox,2016-08-03,awesome!!!,
135,sydney osa,2016-08-03,wouldn t cast,
136,jessica thomas,2016-08-03,connect well with tv seamlessly,
137,lobo burque,2016-08-03,can you use this with kodi,
138,cyborgdude,2016-08-03,love this,
139,brian wyer,2016-08-03,i have to uninstall and reinstall it every time i want to use it,1.0
140,nick strong,2016-08-03,the chromecast 2 will show the movie or show  but after about 10 15 minute of playing  it loose all remote activity  cause me to cut off the chromecast and reconnect to gain playback control again  good item terrible connectivity issues  need some work ,
141,amy yates,2016-08-03,best thing ever,
142,greg cram,2016-08-03,awesome viewing cant wait for the next series,
143,ryan lane,2016-08-03,awesome ,
144,pedro zuno,2016-08-03,best,
145,royal lilly,2016-08-03,                                  ,
146,raden arellano,2016-08-03,cast scren not work on 0  upsized,
147,noor chaudhry,2016-08-02,why take away such a great feature i can t hear anything through my phone ever since update to android 6,1.0
148,aditya prasad,2016-08-02,superb and wonderful,
149,nathaniel carrasco,2016-08-02,it s a good,
150,carlos andrade,2016-08-02,used to work fine now constantly on cast but will not show on tv   will not disconnect   please fix,1.0
151,karnam vijay kumar,2016-08-02,    ,
152,nick owens,2016-08-02,work awhile ago now it just disconnect every two second,1.0
153,aldo evers,2016-08-02,e x c e le n t e,1.0
154,ness mc murphday,2016-08-02,even when it isn t screening it s say disconnect and it win t! therefore i can t cast!!!!,1.0
155,get rekt by the swag,2016-08-02,but cant screen cast  plz fix it,1.0
156,kartik anu,2016-08-02,all these day it work well   now suddenly it pop up message your chrome cast be manufacture for a different country sucksss,1.0
157,dhruva mishra,2016-08-02,bad config  no user friendly,
158,mohamed elokda,2016-08-02,for fix all issues ,1.0
159,sisay tesfa,2016-08-02,this ethiopia internate be a luxary   so please enable cast screen for local medium i know it work on android os 4 4 2   mine be 4 3   screen cast doesn t work,1.0
160,vickie rutherford white,2016-08-02,always on top,
161,erica lee,2016-08-02,sometimes buffer,1.0
162,tyler ferreira,2016-08-02,buy chromecast audio to use with my reciever to listencontrol to music from bed  it do its job  need some features  first if i cast a youtube video to play audio only and watch video on my phone there be a 1 2 second latency extremely noticible  the need more feature though  it work amazing other then a few random disconnect and occasional unable to play track error ,
163,rob gilkerson,2016-08-02,the background need to go to low light option after a determine timed,
164,marco molinero,2016-08-02,i think it be go to be for all phone but i guess not the only thing that work for me be youtube  u0026amp  netflix ,1.0
165,ali amir,2016-08-01,good,
166,jagath gowda,2016-08-01,please update it to support marshmallow  cast interruption problem,1.0
167,sadf omide,2016-08-01,,
168,jewel grace sabidal,2016-08-01,we enjoy,
169,usman suherman,2016-08-01,superb,
170,ramon rodriguez,2016-08-01,it be the best,
171,kara ryherd,2016-08-01,love it,
172,heather collins,2016-08-01,previously rave about chromecast and have always recommend now? no! audio have fail completely! factory reset win t solve the problem  not to mention the screen only cast for so long  the past few update have render it obsolete  look like i ll be order myself a fire stick now  sort it out google!,1.0
173,rochelle moros,2016-08-01,stream,
174,andrew steel,2016-08-01,nothing but problems  can t find my device when it s already playing  create 2 different name for the same device  crashes  what good be chrome cast if it can t be set up?,1.0
175,lauren l,2016-08-01,only do screen cast  used to be flawless but all of google s s be great  their focus have clearly shift away from have a good product now that they own the android market  that s ok google  while you try to monopolize our device everyone will root their device and go elsewhere  maybe bring the focus back to have product we want not focus on prevent us from the freedom to choose??? just an idea ,
176,rowena g ocampo,2016-08-01,i want this for more watch movie on tv,
177,pedram kahyash,2016-08-01,i like it  ,
178,jessica c,2016-08-01,it will not stream netlfix!!!!,
179,ali asssi,2016-08-01,ok,
180,abi quintana,2016-08-01,ricky u0026amp abi4ever,
181,wes w,2016-08-01,so convenient i have one in every room of my house  55,
182,charan ponnaganti,2016-08-01,value for money,
183,rutraj desai,2016-08-01,casting do nor work since latest update  require number of attempt to cast youtube video on tv,
184,rob cook,2016-08-01,living room kitchen bedroom den  it s a must for any tv lover  everything you can see on your phone be transport to any hdmi capable tv  bigger be better!,
185,donald means,2016-08-01,i give it a 1 because up until now i very hy but then thing changed  i have no idea my smartphone be be used as part of the circuit  as long as you have an android phone it work great as it do for me  then i change to an iphone and it be now a real pain in the neck to use   my iphone be now my remote  it s pretty hard to find a movie on that tiny screen  i have over a year of use but still feel cheated ,1.0
186,marcus traylor,2016-07-31,my cast just stop cast no reason why?,1.0
187,jeff ferris,2016-07-31,downloadcast music or whatever from 1 device to keep all together to play on better device ,
188,ediz sener,2016-07-31,really like it! cast youtube and netflix work very well and easy to use  only thing that prevent me from give it 5 star be that i cant screen cast on my phone or ipad air  when i try to cast on my phone it disconnect and on my ipad there be no option for it  but still like it,1.0
189,bhudeep hathi,2016-07-31,set up time less than 2 mins start stream tour android screen photo movie compatible s like a charm  clear no lag   can t get smoother than this  a great product to convert your non smart tv to a smart one in just 3k rupees  recommend as a strong buy to seamlessly connect your digital device to your tv with ease without wires! now that s go digital!,1.0
190,kim armstrong,2016-07-31,ever since i bring my chromecast i have never get it to work better to just mirror it to your smart tv i be run a samsung s5,
191,gian carlo jalbuena,2016-07-31,good mirror but need to have a build in local casting feature ,2.0
192,depinder sethi,2016-07-31,after the recent update the connection keep dropping ,1.0
193,akshay kumar,2016-07-31,we be unable to cast screen video of my mobile   please guide me how to resolve this,1.0
194,jose campos,2016-07-31,i love it!,
195,aiidesignz web and seo,2016-07-31,funny how it say setup in three easy step yet a webmaster cannot even get this device setup because it keep give error messages  if it be easy and work liked it say it may be ok but that s not the case  as with most technology  more frustrate than be worth ,
196,sarthak grover,2016-07-31,a lot better be expect from google  we should be able to select the quality of video that we want to play  but google force us to watch a certain quality video depend on our connection speed ,1.0
197,julian gaddy,2016-07-31,work for about 4 time and have be try to troubleshoot for several weeks  very disointed ,1.0
198,shirley garcia,2016-07-31,it work great on my galaxy but i would have add more star if it let me use it on my surface pro 4 where it doesn t work at all!!,
199,cherise lynn,2016-07-31,not connect to lifetime and doesn t mirror well at all,
200,joe a,2016-07-31,connect easily and work exactly like it say just start an press the button and do that simple no lag too and i like the what s on feature,1.0
201,jessica davis,2016-07-31,it use to play fine but now it keep freeze  u0026amp  drop my cast  i have do everything the tech person have tell me to do but nothing works  they say it must be a bug with the   if you guy actually read these please fix!!,1.0
202,desiree randolph,2016-07-31,love it!,
203,jherina beck,2016-07-31,great really get the job done ,
204,jim lawrence,2016-07-31,great unit,
205,vaser wright,2016-07-31,google cast,2.0
206,marcio david,2016-07-31,great,
207,michael eells,2016-07-31,older version of chromecast worked better for me  newer version fails often! why fix what ain t broken???     ,1.0
208,white b,2016-07-31,i have no problem with this,
209,ahmad noori,2016-07-31,very bad,
210,y sandigo,2016-07-31,if you reset and plug cast again it works ,
211,cholo,2016-07-31,the chrome cast extension be not visible anymore ,
212,jim bennett,2016-07-31,well here it be the nxt day  u0026amp  still havng connection issue so here s the verdict don t purchase the chromecast it ll be the worst choice ever save ur money  u0026amp  go dl imedia share wrk way much bttr then chromecast in fact i jst unplugged mine  u0026amp  i m gttng redy to sale it for  15 bcuz that s wat it s wrth o  u0026amp  it s not internet i get 48mbs dl  u0026amp  6 to 7 8mb upload speed  u0026amp  i m used range xtender that hav clon my network wat it be be crie craftsmanship which they ll never fix i ve have issue since may,
213,diamond bell,2016-07-31,it very easy to connect to the phone  i love it              thank you                 ,
214,tyesha thomas,2016-07-31,the overall connection be a bit weak it drop and ill have to restart the connection and will keep play off your phone even if the isn t on ,1.0
215,manisha patel,2016-07-30,not good,
216,jesse buckman,2016-07-30,i upgrade because chromecast constantly have problem start up and connect to youtube  surprise surprise the new one be worse than the old one ,1.0
217,analinda suarez,2016-07-30,i enjoy watch movie,
218,vishal vic,2016-07-30,so if both cat,
219,augustine lian,2016-07-30,good,
220,ajdh jdhe,2016-07-30,under setting there s no option at all  no way to change resolution or change anything ,
221,shyamprasad v atri,2016-07-30,can give more control s on phone,1.0
222,faris muhammed,2016-07-30,volume decrease,
223,richard gomersall,2016-07-30,not sure whether to review the or the device but i guess both  for me it be easy to set up and work very nicely with both yatse and bubbleupnp  power through the tv usb socket it start up and shut down with the tv  and much neater than used the supplied main power adaptor  edit latest update have result in it significantly interfere with the tv signal and since it s raison d etre be to be connect to a tv it lose two stars ,
224,aashish patel,2016-07-30,gallery crash every time i try to mirror screen ,1.0
225,parvez alam,2016-07-30,the mirror isn t working as smoothly as it be earlier  lot of pause and breaks ,
226,dave rigden,2016-07-30,if have a nexus phone cast connection much faster even if you have new 4k tv which have cast but google always better highly recommend,1.0
227,patrick agustin,2016-07-30,it s not work on my samsung galaxy note 5 run android marshmallow when the device be plug in a tv  although the show the chromecast device in device it say unable to find a compatible google cast device when i try to cast  it work on my ipad and samsung tab 3 run android kitkat ,1.0
228,andrea galeano,2016-07-30,no problem,
229,jb coates,2016-07-30,for some reason it keep on disconnect it self from my tv and phone when i m try to stream video to my tv  it used to work ok and stream twitch perfect so i have no idea what be go on!,
230,vishal dodhiya,2016-07-30,while cast netflix to the tv then locking the screen the cast option for netflix disear from the notification bar and i can t hit pause or play ,
231,adam cooper,2016-07-30,i have a galaxy s5 and can screen mirror any content on my phone  now that i m on s7 edge that option isn t available  pointless without this option in my opinion,1.0
232,ellen seaman,2016-07-30,workec great for awhile  but now it will not stay connect to the tv no matter how many time i refresh ,1.0
233,xdg  m  r71,2016-07-30,                    ,
234,haris raheel,2016-07-30,have to factory reset phone and narrow down cause of misbehavior to google cast   cause to shutdown and keep reboot until you plug it in,
235,michael beachy,2016-07-30,an amazing device but really buggy similar to all google product never end beta  to get it to work need to reboot device and cast  lock up every two or three uses  would be five star if it always worked ,
236,okko eskes,2016-07-30,bring back miracast ,2.0
237,okko eskes,2016-07-30,bring back miracast ,2.0
238,brittanie ruth,2016-07-29,love,
239,alvin saw,2016-07-29,hi google team all my device can t detect the chromecast after update pls solve it,1.0
240,jimmie sisomsouk,2016-07-29,like,
241,alka jain,2016-07-29,it be amazing i ve no word to describe  so i request everybody to download,
242,tarun patel,2016-07-29,lag lag lag,1.0
243,shalanda allen,2016-07-29,love it,
244,tre' alexander,2016-07-29,it s simple and easy to use but you should add a feature to adjust screen size as the video i watch through youtube ear too big for my tv screen ,
245,"jason b  mcknight, mba, pmp",2016-07-29,it work fine for the time that i want to just mirror my screen  buy the 2nd version of the chromecast  my preference be to not mirror my screen because it show all notification and it seem my screen have to remain on which be frustrating  if i have local medium i use allcast or localcast  side note if you use es file explorer they offer a chromecast plugin that work fine no lag   it require you to have the video for example on the device or i suppose through a medium center  solid explorer have a chromecast plugin as well ,1.0
246,micah jerry,2016-07-29,great,
247,amy noddings,2016-07-29,have this for about a month work when i first get it update it when need now black screen reboot and factory reset numerous time and still nothing when it do decide to work it do not work for long halfway through cast the screen go black sent feedback and not hear anything back typical! start to wish i have never buy it now please fix!,1.0
248,amber bailey,2016-07-29,great gift,
249,brandon forster,2016-07-29,the screen be crop so i m not get a full 1080p screen ,
250,g  ward,2016-07-29,netflix have issue,1.0
251,ozgur patricia aktas,2016-07-29,horrible just a waste of my time and money! i return it the next morning  there be better free s!,
252,lia chieeaydowl,2016-07-29,cool,
253,jordan r,2016-07-29,stay connect for about 15 seconds  it continue to play but you can t control it,1.0
254,jordon l,2016-07-29,used to work perfectly but now after the update it can no longer cast on my tv,1.0
255,ashley deters,2016-07-28,my phone can cast to my smart tv perfectly fine but this can t  it can t find it on the same network and no longer let s me connect to it over my hotspot ,1.0
256,ben williams,2016-07-28,all feature work well on samsung s6 and s7 but the screen mirror do not work on the tab 7,1.0
257,donamick,2016-07-28,in all of the tutorial that i have watch everything that i have read about google chromecast not one time in the last 3 month do it ever say that i need to have internet in my home for my android to send the signal to the chromecast device stupid and dumb,1.0
258,joshua caschera,2016-07-28,i used to be able to cast the screen then you take the option away then bring it back but not for my device which doesnt make sense cause it work perfectly fine before,
259,abdrahman smackdown,2016-07-28,wow it s not a problem with the following link and attachment,
260,ann jackson,2016-07-28,i love it,
261,kris alberts,2016-07-28,zero hassle simply works ,
262,chris johnson,2016-07-28,i can t seem to add new photo album to my backdrop  i still have the two i selected but how do i add more? it used to give me album choices  now i just get account choices?,2.0
263,david coates,2016-07-28,info image product perfection,1.0
264,randy reyes,2016-07-28,support latest android ver  n,
265,sapixyz3 sapixyz2,2016-07-28,very good,
266,zsolt banki,2016-07-28,n  ha kifagy   s akkor lassan   led   jra,
267,dane mickelson,2016-07-28,s need work a lot of them don t work well  and there be major stream service you can t watch because they be google s competition  you can find stream device that you can stream all content  i d go with one of those they work better ,
268,mike mcleod,2016-07-28,i can t mirrorsync my phone to my tv anymore  crave and all other chromecast friendly s work  anyone why i can t get connectivity from this anymore?,1.0
269,eric martin,2016-07-28,do exactly what i want it to do,
270,ryan sanford,2016-07-28,trash most time,
271,benjamin hulett,2016-07-28,while i reciate what i ve be able to do with google cast i think it be the nature of the technology that cause latent sound after used the seek feature in videos  i d have to exit out the program and restart to get the sound synched  it turn out it s not the nature of the beast  it s the   i get an lg v10 with miracast built in it  i have not experience any latent audio to video at all even after seek in the videos  it s not the chromecast stick either as i use the same device ,
272,pat robinson,2016-07-28,so far so good as of right now no problems ,
273,dany ebanks,2016-07-28,make it more better keep it up 100 good,
274,alex aviles,2016-07-28,it would be better if i can actually use the photo with the chromecast not only on this device but also in my two other smartphone or my family s devices ,1.0
275,sonic gaming,2016-07-28,you dont have to switch to the input where the cast it just turn on,1.0
276,tyler conner,2016-07-28,barely work after few month,1.0
277,jayden evangelista,2016-07-27,cool,
278,anthony ervin,2016-07-27,deez nut,
279,andrew markiewicz,2016-07-27,my phone s audio control used to control chromecast audio  now you have to   unlock your phone switch into the that s cast select your run medium click the cast icon and use the slider  pretty garbage ux  some communication on feature addsremove would be nice  ,
280,muhammed borham,2016-07-27,each time i run it on my galaxy note 10 1 run kitkat it stop working  u0026amp  force restart,1.0
281,daniel o'reilly,2016-07-27,this will o ly work with google devices  it do not allow you to cast to anything that isn t make by google,
282,jim o grady,2016-07-27,netflix be repeatedly not work with chromecast  the reason why i purchase this be to view neflix on my tv not my mobile phone ,1.0
283,farhan rejwan,2016-07-27,i want to cast my android screen to pc laptop ! please make this option!,
284,greg scheuerman,2016-07-27,suck,
285,mohamed elokda,2016-07-27,there be no sound control !!!,
286,celena rose,2016-07-27,only work sometimes   very inconsistent   ,1.0
