App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,body,Translated Subject,Translated Body
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRkxhOS1iRFV4TjdwaEpvODBWQzBzNTJEcE5FbFBwODlWQ0J4NS0zRW1CY2dGRklIbExDQUwxeklPZUJ2YjZ5WXZ0WjQtay1ZVnIwTUFzSEE,English,,5,2016-08-09,Elvis Chavez,,no me sale la opción de cast screen arreglen eso,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPSDlNUWdlUU1hbzVXdXZraFhqeFVMczNKNGEyZU1oZzQ3ajNwZnRRS2stSDhUUHJOaTJmZmU2Y2lleWpBWmplcG9zWGtYRG5qNnpXX1Q2MHc,English,,1,2016-08-09,Jim Smith,No notification controls anymore,i update my and now the playback notification control be gone. now i can t pause play or fast forwardback an online video. fix this!!!!,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRTk3X3ZaTVBqSEt6XzVwTkdhTDZJYjBFei1zYUVwRXBDYnpRc09BUi1LeWJ6eGFNeXhuZ2lVa2czeU16RFJhMmR4YzJqYjJNNlFrdmpzVWc,English,,4,2016-08-09,KNUCKLEHEAD,YuP,yes it really work good everything i need it do,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPSEtBMXZQUDNkWFlhc1E4SFVjTEdheHNKTFk3UWZnbEFIakYzOUtSYVFmOVpEQVQ2LS1GeTZ1Q1RwSnlmUEdmNnhVbW9fd0s4MUZTQXRCd1E,English,,5,2016-08-09,Corey James,Casting media made easy.,photo movie youtube music.. all make very easy to cast to your tv.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR1Mwd2xBeDFuLWgyc3JQdW8tZERUR3RJXzI2LWp1NHJRVXhSMVBlWUdaZkxiNTdZb2pJTUxZUVN2eVNiakNFd1Z5UlVZTXdTQ24yRnAtdHc,English,,2,2016-08-09,Pankaj Gajjar,,i can t find the cast screen option,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRktudGFPUTdoY1lRaFByaEhIUlZjelY4ZjcyRlhJVGRXSnBwOXB1aDk2cDlTQTlpc1p6c0VRR0IzMEZ6M0tzeHZSd0ktd3lfcm00SUFJd0E,English,,1,2016-08-09,Gabe Ulrickson,HTC desire 626s T-Mobile Android M 6.0.1,screen cast entirely stop work on my phone after it update to android marsh 6.0.1 from android laugh out loudli 5.0.1,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRkx3dklDOWRGUjc0RERFbThxS0pPaks3RjY3Yk9LYXpORkJjYUlBampFTnk2cUh1b0ZSaWZQSnVGVm90OXNpYWVtMmNRM0RRX3FZUmVnNGc,English,,5,2016-08-09,,It's so easy,i love this product. it s unfortunate that it can t work on hotel wifi.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR1RjY1JFNnp0N2JKRFp4SkJBcnVIajdGeE5LZXNaTTVhcENnamtlT3BjYk5rNnphX0V4THkzNUUydUNSczZNd0tTc05JR3RYQkFhTHFidHc,English,,5,2016-08-09,Cyrus Ramsey,Works Great,just purchase a chromecast 2 install the so far work perfectly on a root ulefone power run android 6. be easy to setup and be easy to stream stan netflix etc.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPSDdCd3hpNjNpc0NQQlIyT1lMeUxyT0lUekhXeENESDhRUk1aRFdrejJ4MGhqUnpZc1ZZb0JhVTJVRW8wM21GT0FQWFBGZHJyS1FGN1VRUHc,English,,5,2016-08-08,William Dixon,Great Work Google!,just baught today and i m in love! easy to setup \u0026amp; work s like a charm. i lovetechnology!!!,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRk4xT18wX3d0YkFtZ3VtOHA3MUJnSnZ0eWFfQ055OVZSUzhudVJzdzJJZkhrS25DbXNzSGM4NFVmMmZDZTg0OEZQbjJKZ3BVT09fcmNlM0E,English,,2,2016-08-08,Miguel Galvan,audio cuts,while stream my audio will cut in and out or just completely go out and if the audio return the av ratio be off by many second,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR25ucWxOYTRCYzVqcS1JcUhfWWk5Nmw4djJWOXZGbVMxaXp5NHdvZXVkY0E2Vkw4TkQyaWlGTXBFMTZFa0p0ZU04emdXc0trSkdVc1IzQkE,English,,5,2016-08-08,,Love it,the best!!,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRUlzNVp4a1NSa2JNcERBZTAzdV9tREktTEh0U1k2YVlhYWdORi05am92NG5sY2hQZGhxUk1DSTNJX2loNU1oNmwzN0k3dFJSeHBVMEJGNEE,English,,2,2016-08-08,Lavon Duthie,Used to love it..,it just stop work today. i factory reset everything and uninstal and reinstal the . it be just not be recognized. after the first step of the install,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRnlmck1OTlVXa2htOEV5cHhnRk42QmJFbHFyZzZpbmloVzBEenRoZWlTLTFJQS1PaDk3WXVORlRXaTNsY3BjbHRCTGdIbVE5bkI4dHM0WFE,English,,2,2016-08-08,Amy Duncan,Frequent timeouts,the quit a lot. not force quit just stop casting. first it ll be invisible on my phone but keep play on the tv. then it ll quit on the tv. so annoying to have to keep pull it up again and again. wouldn t recommend,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR0Q1YkN3cl93SlVsX2tHamNNb29ZNEJRZEVjQjdDSFExVm5zRlVlNERGenFUWS1Ha1RWdmhoNVA2QlNqU1VXTngwbHRRSE5KNHJ2MkY1Qmc,English,,1,2016-08-08,Santhosh D,Unable to install,on my sony xperium z3+,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR2hDSENLUl9nN3A1eTU3U1lwVS1PZVJyYVhQcXFaR0VXaURqT2EtXzFBWEFwRFVpVl95X3BjbExzdXBZQ3hIa0dXcm5FZnFqcHJwd3hhRnc,English,,1,2016-08-08,Kylie Willson,Id give it zero stars if i could,it over heat and no longer will cast anything and the chromecast now isnt even recognise by my phone. it say it cannot connect to the internet. and something inside of it be loose or broken. probably from it over heating cuz its cheaply made. i barely used the stupid thing and less then 6 month later its garbage. i want my money back. i feel completely rip off. id suggest buy a medium box instead of this peice of. google have no customer service. i have send message and no response back. bs!,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPSE5HaUpFRUxxN080a3hkSUE3MFlWTnJ3cEZ1cmZwTmV2eVdWOUNBUG54MnJOUVpXLUk0dXlFR09oek9LVGlpbVdZb0JCdTBFNzdLUy02LWc,English,,5,2016-08-08,david reid,,great for u tube and if u have netflix.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPSDRPNnUwVGJtX2ZjbmN2QTF6LUlXdEhHRlZObXFkRE9pTnNYOG1RaVRQcDBSWENxRjcyUk50dVc2Q3Y3MnJfMk4zTXA4UW5oM3F0LVMzMkE,English,,3,2016-08-08,Patrick Hatrick,Needs direct from phone,you should be able to simply connect direct from your phone without internet or wifi,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR2VnSnhDTkF1dFlpN2ZWM3pWZlc2MkhwV0tVdGUyeG1aSk1GMWtvNTlLSkZrR1VRcEZSc3dsQl9nYTNmQWhiMkZwVHJEaW1MQTVFdms3SVE,English,,4,2016-08-08,Rauf Khan,Hi,hi,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR1RaMF9PN2V1RFNMV2ttZVF5ZVJMNGU5S0xpcUFzWlN0MDBoTDI1OXR2N0ZJNEs1d3pQdDY1RXZxdG5mTTdaRnEzeWhKam1xdEdDNXJsM0E,English,,1,2016-08-08,Wes Mcgee,,constantly wifi bull,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR1lQMnl0WVRNUkJYVjFaNXhGMlBKZ3NyYks2MXlfMHI5c1JzZEo0cUNfOTdrWlFJVXFoMUg4bHZpYm82V0gzazQ2c3NiWS14Y1F6MzBCM3c,English,,5,2016-08-08,Wilberto Santiago Jr,Finally !,money well spend . . .,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPSGozTXN1VU9BY2VwcnZDVXpTX0Q3Ym5IVGIzME9BQjFYcWZjMGxyOWktUVg1dnpQd2o5VEtZSk1Ya1FGX1h1TmRFTFNFeS0yaEhhaG9ucmc,English,,4,2016-08-08,sasi Krishna,streaming capability,resolution quality change \u0026amp; bug audio stick add audio equalizer,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR3h3UzQyb2d2anJVNlp5ZGhJakVFaEVDdUZWX1BWazV1Tk9jbkU4OG9LX2FobEhTYWhDdHNEVVFzMWZwbUhrWWxPSkhQS3B3Mm9zbVk4OUE,English,,4,2016-08-08,Chill Out,Its good but it keeps freezing,it s good but when i m watch on my xbox it keep freeze for a few second and it get quite irritating,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRjl5bUloWnBLY1pCUHN4N3dqOUkybmJNYU1wYk1aT3R6c2N1Y1l4dm9wQ1F3MUdiZDdsZHlWUGh0aElyWUU4amN4MThzLTl0Szk5M213NFE,English,,5,2016-08-08,Som prabhat Soni,Simply awasome,my kid and i love it,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPSHNjYjNtM1JhalZnUlZOdVJqaEVYcjh2OFptZ1ZXVjJoUXkxOTVFU1haWmV0a2hTbUV6bjh4SlJPd1ZVc2NRQWQwamI1ZHZ2NUowTGFYb3c,English,,2,2016-08-08,Kathy Clark,Chromecast,,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR1VqUlZwNi1SYXVVZXExamRqczY5OFFpMnB6MWFYNVkxTF8tLU4xeS1LR19BbVc4M25OU0JBSjh0bFdiRFVjT0NGak1qNmN0UmhheEZlbWc,English,,5,2016-08-08,TOMASZ PIEKARSKI,,dobre z urzadzeniem chromecast do tv polecam ps problem znikl ze strona np zalukaj,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRmRSZGJBZl9uaklERnk2ZGlCVDJTdnlRanJTcEp3QVpUcTVpcEh1S3RhTE41X2p4WGlxcDY4T05zM1kxdUZic2c3UXRkbFR0dHdzejJzX0E,English,,5,2016-08-08,malik bilal,,i be very hy,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRmRMQXJpWlVzMFNxVU1jTEJybVEtazJ2S1BQekhFQmQzdTk0V3JpSm12dW5WMm83dmtPTHdGNTllaFl1LU1ZQTVNSjhva0syaElPYWtZMEE,English,,3,2016-08-08,Nam Thien Vo,Output resolution,because there be so many different typea of tvs out there you should add an option to change output resolution of the chrome cast. there be many case where for ex older tv get blank screen because of this,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRjZmNFo2X2ZwNWpqZl9tZVh0cDZUYVBlTmVkMm9ncmt2Y0REY0RoUXd0d3BfUWZPZDg0QmJaUG50eFh5aXlnM1ZMY0JhWUYxNkd6cHk0R1E,English,,5,2016-08-08,Michelle Connors,Chrome cast,love it,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR05wSnJqVU0zQUF0OTl5M0xlUHhBWkhZazR1ekRteEtDNTRkS0RMZkptZW1XWU9URHViOUFOdGtMRUszNjJBN1F4aWJmVkE0d0tEQjA2Unc,English,,1,2016-08-08,Stephen Simpson,,chromecast be buggy since a recent update it now show cast mp4 movie at the wrong aspect ratio. this cause everything to look squashed horizontally e.g. person look thinner than they be . this bug hen regardless of whichever i m casting from bubbleupnp or plex for example. please fix this!,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRVRCQk1PWkZoRldiX0hkTXdRcUZ4MnBKTHZROUhiR2k2OHd6LTdaSmpBeFc1Y2NvWm1EQUVvenVBMVNWMzJFbnI1UGE2REo4U0pMUVU0elE,English,,1,2016-08-08,Danny Gulley,Crap!,enough say,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRW1MVDE0eG9RWmt5VHpxNmdKbUlJRWh5UXdHRDEyLUpWVDQwWXQ1OHJtdk1LMlZfdTQtZjk1QzVZNmVrVUktTmFic2ZLVF9lbkJSX1hmSGc,English,,1,2016-08-08,Paul Higson,ABSOLUTE PILE OF CR#P,need insert in the inventor butt crack might get better reception !!,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRkYxeWJXVXhpWlprSjRmbXVTQTFTcTFHYlU1SWlzTE1FcEl5Z2FKMVdZdGRlM25MamJBYmJkbWZTUnlNUFJhMVhpR0g0eGtQem95MHo4eEE,English,,5,2016-08-08,Vanessa Milligan,Great,awesome,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPSDhoLTQzQzhyMlpINUg2bGEwbktsN3NGdlBlbHM3X19BLTMybUp6bmQ4WnJ5WEdHZnRVaGY1NnNQNkdndnZxQ1BvajJFNEJGNGVtU1dudmc,English,,1,2016-08-08,Mark Atkinson,Losing patience,great when it works. otherwise a pain in the rear. require a reset of my router before casting can take place. this be despite phone lg g3 and chromecast both be connected. online help poor as well. such be life,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRUZ6NE4xdUU1X01DdmgtTWx5a1Y4dUV5Ykw4MnFBMWJQZFQ1VW9rRU56bjRVbFJjaV9McG5tNXlPQ0ZLVTZPa3dBRmxQX1hvNHRjT3ptMVE,English,,2,2016-08-08,Engaalenno Lucky Luciano,I CAN NOT EVEN CHANGE TO A DIFFERENT WIFI CONNECTION,ok okay google time to get it together i can t even change to a different wi fi signal and that s sad for you and your company because for every one complaint you re lose 20 customers. google there s an old say in promote that be better to spend a lot more now to better your product in the future or ignore them and spend a lot less and lose everything ur fan in the future.so! do the right thing google make all your fan and customer very hy that they come to you and beleive in you.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRWJtRVJfaWs0R1FPUEZ1dVdtUmRCWlMtQTN5T3FUM1J0RjdYX2RPVkpFZ3paQlFwNkEzZE9YeklrTkpIZGdQTXo0VnZaYVZTemlUMmRpQXc,English,,1,2016-08-08,Charles Roberts,Used to be great,latest update and chromecast audio be now a sad mess. randomly disconnect from the device leave you unable to control music without manually reset the . music doesn t load and start playback half the time. google play without cast work fine so this be entirely in the cast . do you guy beta test anything you release? device be currently a waste of 35 bucks. review change when and device actually work again.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR0RXMndITmJSbVFNME5oQktEdjZIOFhiZ3o3dEI5a09OZWJDSnlpTGpMbHcxTG9QUTRiTXJ1SlRZalRqNHhYaTdvVkRSQmFXNWZqY0R2amc,English,,1,2016-08-08,orlando perez,,didnt work will try again,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPSDh1UVBnNGNPaWI4cTRxVVB0SGtpMndPNVVOcTl0NFdXelZBaFQ2Mm9tZ3JqY1U2QWNmMnVRbWF3bmxzWGpjRm4zLWFVZzRpa0lsWVVra2c,English,,5,2016-08-08,Cody Hall,,work great with verizon turbo 2,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRS15RFV2Y1p2VmlYc2ZZLVBHdUh1bjhSNUpWSmlKLVpmallGd2ZtTHN2bnp6bFQ0LUc4Q3NMRmJYSjN3Y290Tm82M3BaVjJEbkZubnBOLUE,English,,1,2016-08-08,Keith Zubot-Gephart,,still no search functionality for canada.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRS1zVnlSLVBvTm5DLXJFZi10OWNUSzI2S2JXQ3pfcUswM0lGbzZ0OHdiQlk3Vkpkc21Gc0hVR2xKc0hTTzdkTURuSWE2d0VJdlJWc1Nsc2c,English,,5,2016-08-08,djabria mechtaoui,,love it,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR040T0c0bWJiTVlFYkJIclVFbWwxQlU2T3VJUHhXRHpSUDFtMHFaYkZxMW1DTjRBNENaTjVQMzZ2T0dEaXZRZEZvUXpCSm1TLVNyOWZyMnc,English,,2,2016-08-08,Glen Shrubsall,Used to work.,cast from within youtube but no longer cast screen. pita when update wreck what be already functioning.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRWc0RUpPaF9nYV9kZERkenFHQmVvd08yQTJEdFROVk5zY3UwTDFGLTRiaWNQUTJCS0ZfYVlTNm5vWEJ3RDR0aGFUT2JsRkY0OEFJT2pHUFE,English,,1,2016-08-07,Desiree Lyons,,why can t i cast the screen anymore,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRW1GOWdpYnpxS3YyZlN1Z1RGWFRqN0RxZGtxUV9FcTdEVnZzTVZGLVBfNnY0NGpsSzQ1dm9xbzJoNGI3cHZVbWo3OHlldnkxUGEySmVpMkE,English,,4,2016-08-07,Swkat Patwary,DON,can t say,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRzlwbVJYR1F0SXhFS1Z4SHJaNXp0d01rYmtsREJmS1gza0V3WVhMNU9lQzFpM0lYTUhUUDBuQW1ES1F5X0Vvc0dDUC1wSVpnVmVMTEx4Rnc,English,,3,2016-08-07,beshoy safwat,,samsung galaxy tab not optimize yet inwish i can use it,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPSGNzUXhXRDY5Q0hnNDd0cUFydUpkUEpvekVFcUVfVVJIdGZQbkRlNndGQnNyMVFLQlFwOTdvVG5tSXNJVk9EUlVfT2Qxd0w4NjJzWGJld3c,English,,3,2016-08-07,Donald Daharu,Perfect!  But one complaint?,why do it cast with the highest volume? it come on really loud.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR2YzaVhLQjNCUmRYaGNzWUY5ZHdicEdudV9XOE1QY2U1WHdCTGZGWnd3NGFWb1FuZTRXUkNqR1JSeWdTYi1pay1tRm13V2RabjVJYnFsMFE,English,,1,2016-08-07,Davy Wolfe,Does not work.,i have the first gen chromecast and store it one i purchase a mini pc android device for my tv. the mini pc stop be able to use the hulu . i hooked my chromecast up and download the to my first gen tab 3 and it doesn t work. also try it on my old note 2 my old grand prime and nothing works. i also do a factory reset before try to cast with each device.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRzh2eHZmUV9XY2FKNU9RRU9oNVhsVWd5SmxEZ1dSdWJPYkZ6VDg5QzlGdGlPdkoxdWlJbFNGYzM0YXpIX3Z2NzdGMTRIdnZSX2NkU2s2bGc,English,,1,2016-08-07,Randy Ozaeta,,wont let me cast,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRi03enBHYTJVcnhWQk9pa0RtVkd2ZU5mRk9vb1ZyTUw3c05xTUZoOTluQllYR1p4VEYxLXY1Y0paT0pLNjRyUmpWazRQWVhGbzZxa1VHTUE,English,,5,2016-08-07,wayne sunter,,i love it,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRjE4UGRWU1dveU9oV2dPRHRyaEhjNnFtbE9EbWhZbWlHUlNlalUtLTluM0NZTnkwYUUtbmJTbVdJVGxfdno3XzlFNlJGcHBMaGV3dGEtUXc,English,,5,2016-08-07,Lu Ka,Very good,better than le tv,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR3NNUUR5dldQdFYxc1lkUjhlTjBPaldKNVJ5NjB6QnNJVm1FenBlZmlDMlNwbXR6eDluM0t5WkxYc1lNakFFWlBwdHZ3RWJMV29TUExHTXc,English,,2,2016-08-07,Richard Lachiver,,doesn t play all video in chrome window,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRkdzajc4TFNIakZJRlVUcGdGMjZVOTc4YklHdldNNmUxVDFSYS1ONzZMcmh1b2JlRDdLT2NwTWl5WV9XekU0RS1IQlRrVndsdjlPWEJDaVE,English,,3,2016-08-07,iLhan Sen,Good but..,no full hls support,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRlVDemZwSWZHVUNoalZmRFRWd1pIUWFPZF9TcGVKMjFnMEFPZkRQcS1rMnBPSU9RMlZPUmJvU1JLVnNrcFFCVHlJVExaRm1BbFJZdGtOQ0E,English,,1,2016-08-07,robin yadav,App recently became worse,no personal audio in the new update. absolutely hate the . money wasted. congratulation google.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPSFJZRkJPX3o0elVkVHVMWGFNOG1JSG80RnV4YXZPa244VHZCc0xUSnBadkFuTXZsXy10UElVN2trUlJNcHptVTZMTVJQekxOZURzN3Ffamc,English,,1,2016-08-07,Maccon xxx,Used to be great now rubbish,now i can t even cast youtube. used to be flawless about one year ago and never cause an issue. now a simple connection can t be make get stuck all the time.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR1Z5ZU9Xbzk3ZFNEaEVxd1JrT2ZWdVdfODA4T3liV3huOXZBSldLYnYzNVdPYU1senZJUXZ0a09VVjdFYjZaYjlIUk1lYnFVY2JtSFUxelE,English,,1,2016-08-07,Adam Levine,,any nexus device will not connect,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPSEZ3a2lBbnFNaFhWME9ENWZtdXgxZHprU0MyaVJMTGJsdEE4bGFaeDVtcVNMS2UxVHd1cFBGOEpvbF9iaGw3SGJWUVU5d2M4VmFxY3NXZ1E,English,,1,2016-08-07,Dudley Moorhead,,doesn t work,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRkRIdmJrZm11VDkyaTVkUENTSk5iZUZRNk9YUjNLRnVlNFJZSS1Fc0wtTVJrSnA0MjFVdElpRV9rUGZ2WWtFcndITnBhdS13bmdOTUNfdEE,English,,1,2016-08-07,Alex Najera,Needs work,when i try to screencast it barely work and that s if it even works this need an update asap,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRWlWZmpPSEVCLXJ5MmNYdExfNkoweDdEbUlveFZBQlFOOXhxRXhQbXgzQVhYYUNjX1NyTzJjaHIyZWpQOFN4WkRnY3RPTm5VM2pMRzctcEE,English,,5,2016-08-07,nellie hernandez,Love this app,love it love it love it.,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPR2lmM0UwVE1Nb0dFWkxXR1B1SWswSXJEd2d3NDN0R0J6RVBVYlJQdFpGdDYtY0toUF90Z1Nhd2xmQ0dyMVo5QTdwVDl4S21vb0g3ZDc4VlE,English,,1,2016-08-07,david plant,Crap,just crap,,
Google Cast,Google Play,com.google.android.apps.chromecast.app,Z3A6QU9xcFRPRUtHZXlRVGIxNDdIQVM4aW1mQUZMckFKcXo5OXRRS3ZzbTRlNXNxVkJnQlZvQi1mSzFYTWx0QW1XQkkyNkxNcy1MQnB3QzdFbVBfekhxRkE,English,,1,2016-08-07,tori mockford,,only let s me cast google play music then claim it cannot find a device when i want it to cast my screen.,,
