,Author,Date,body,Class
74,mi ho,2016-08-03,used the camera or gallery be almost impossible to use  disable  u0026amp  problem go away ,1.0
75,captain grumpy,2016-08-03,i use pretty much religiously  i ve recommend it to friend and family but after this newest update it have completely break my gallery  it crash every time i open it  please fix this  this be very useful but the cloudagent bug have kill it  i will change my review once the bug be fixed  gl,1.0
76,vinicius p n e silva,2016-08-03,have be used for 7 year never have a problem with it  a must have  ,
77,eternal enforcer,2016-08-03,after offline photo be sync   go offline and you cant view some why?! fix now!,1.0
78,bob the leader,2016-08-03,have stop or cloudagent have stop error pop up hen everytime i open my gallery ,1.0
79,paul harding,2016-08-03,do not sync uninstall,
80,nancy harlamert,2016-08-03,,
81,teekaiah sunarkar,2016-08-03,it work so amging,
82,butter cup,2016-08-03,its just so messy! i wish this didn t come with my phone already or else i would have used another   i have try to organize all 500 photo but it have be take forever and duplicate be not copy over i have to try and find the copy and delete it if its already in the folder and gaahhh!!! i wish i can just save them to my phone and use another,1.0
83,prameela j,2016-08-03,so handy and helpful!,
84,mohd ashraf,2016-08-03,please fix this asap i use it as my daily life it say cloudagent stop working whenever i open my gallery since i sync my with my phone i have to disable it to stop that message pop up,1.0
85,hasamuddin khan,2016-08-03,nice,
86,scouse timo,2016-08-03,since 2 day ago my s5 have a message say cloud agent have stopped  this be to do with sync offline image from   drop box have drop a clanger with an update  fix please ,1.0
87,nina mason,2016-08-03,ever since the so call upgrade last night i ve have nothing but problems! i constantly get cloudagent have stop along with a few others  please fix this! i know that i be not alone as i see many complaint about it the past 2 days ,1.0
88,warren cheng,2016-08-03,cause the gallery on my tab 4 to crash with a cloud agent error  gallery work again normally when i uninstal  ,1.0
89,haszan baleegh,2016-08-03,chase the cloudagent stop working error   send an update quick  i ve search online and a lot of person be have this issue  it stop be a problem if you sign out of,1.0
90,marylourdes arocho,2016-08-03,it s a great easy to use and very efficient ,
91,dustin johnson,2016-08-03,can t argue with 50 gb limit? wheater personal or work it s a lot of free storage ,
92,santhosh vadivel,2016-08-03,superb and nice one,
93,jakishma riley,2016-08-03,this be such a help so i don t have keep all my photo in my phone ,1.0
94,raissa m ,2016-08-03,i have be a fan until the latest update  will change this review as soon as a solution be provide to the cloudagent bug  what a pain!,1.0
95,mary m,2016-08-03,most recent update have result in some super annoying cloud agent error  please fix ,1.0
96,nigel frost foster,2016-08-03,wise,
97,julie boutros,2016-08-03,helpful when too lazy to connect my cell to the laptop p i just add the file to and will be synchronize on the account on the laptop p,
98,ajay chauhan,2016-08-03,good one,
99, leafyishereisdaddy  keemstarrismommy,2016-08-03,this be the most cancerous ever  i nearly die from stage six cancer  never download this ,
100,susie vallica,2016-08-03,nice,
101,ninik indrawati,2016-08-03,good,
102,fathony arroisi muhammad,2016-08-03,useful easy to use and great service  wow!!,
103,alvin ramos,2016-08-03,after the new update i get the error as state above  and i believe a lot of person have this issue as well  pls  fix this as it be so annoying ,1.0
104,susan simpson,2016-08-03,don t like it at all,
105,saifoor khan,2016-08-03,best s,
106,angela hollis,2016-08-03,love it,
107,stacey rainbow,2016-08-03,since i update the i cannot look at my photo in my phone gallery  i have try to uninstall but make no difference! keep say something to do with the cloud agent which be something to do with ! really not hy!,1.0
108,bharrat bhassker,2016-08-03,when i used to upload background mode i mean when i minimize nd work on another s then my uploading notice remove  it s very unpleasant  please fix this bug ,1.0
109,daniel birch,2016-08-03,after update i get a cloud agent error when open the gallery  usually a good but now i have to disable it until this issue be fixed  do anyone know of any solutions?,1.0
110,rohit shrama,2016-08-03,great,
111,marie hanmore,2016-08-03,freeze the phone,1.0
112,sunshine kool,2016-08-03,yay,
113,somdutt yadav,2016-08-03,good,
114,devon l,2016-08-03,work fine til last update now cloud agent wont let me use image on wat etc as say its not working  i didnt even select photo syncing to just start do it so don t trust them anymore!,1.0
115,chioma luke,2016-08-03,easy to use and so useful  thank for this great service,
116,matejko mobile,2016-08-03,to big,
117,reza andre,2016-08-03,this be usefull,
118,raza z,2016-08-03,good,
119,chrstina julian debusk,2016-08-03,awesome,
120,neha garg,2016-08-03,gud,
121,sony dollar,2016-08-03,good,
122,a google user,2016-08-03,terrible for photo view,1.0
123,mark dupree,2016-08-03,for some reason start from my picture at the top when i tilt my phone sideway it take me straight to my last picture  and i have a lot of pictures  this doesn t make sense  it s never do that before until about 2 week ago  please fix,1.0
124,t v  green,2016-08-03,great file sharing across platform,
125,dsn murthy,2016-08-03,it be intend for use by anybody who be look for a como place,
126,a google user,2016-08-03,do not reciate how i be force to dl the with all its intrusive permission setting to grab a file while on the go  dling the file then deleting ,
127,brad olson,2016-08-03,be a 5 star now a 3 star due to lower amount of free storage ,
128,adrian,2016-08-03,critical crash bug that s cause cloudagent to repetitively crash,1.0
129,edgar garza,2016-08-03,save all my picture no worries!,
130,carrie luman,2016-08-03,i love it i can go and see my pic,
131,julius arranguez,2016-08-03,so nice,
132,mahbub s b  jalil,2016-08-03,galaxy s4,
133,wayne jay,2016-08-03,paid for more space but have trouble of note tell me can t put in now try later!! why???,1.0
134,rama fattah,2016-08-03,splendid !    ,
135,rahma imut,2016-08-03,tes,
136,alice jorgensen,2016-08-03,it suck up all photo even temporary one without my permission and i can t get them back out or edit them,1.0
137,ram mohan,2016-08-03,ram,
138,yung tune,2016-08-03,best of it kind,
139,alfredo augusto cruz,2016-08-03,i have in 2 pcs 2 laptop 2 tablet 2 cel phones  it be a very consistent and helpfull lication  my keepass data base be in there and retrive delete files feature save my life today,
140,jafar sheikh,2016-08-03,i like it,
141,mansour bob,2016-08-03,this message unfortunately the cloudagent have stop ers to me constantly   and i dont know what to do,1.0
142,carol bradley,2016-08-03,i have be very pleased with this until the update today when i keep get the message cloud agent have stop,1.0
143,leolin jude,2016-08-03,saver,
144,alishe khalid,2016-08-03,love it,
145,hannah metcalf,2016-08-03,whatever you do for the last update make me not be able to view any of my photos  i keep get unfortunately cloud agent have stop and my gallary would just close  i uninstal the update force stop cloud agent and   nothing work until i go into setting and unlinked my phone  so now this be completely worthless to me ,1.0
146,saphire crystal,2016-08-03,whenever i try to open gallery i get a notification that cloud agent have stop,1.0
147,a google user,2016-08-03,this be an essential   now lower your subscription price a bit ,
148,hassan ashrafzadeh,2016-08-03,great,
149,good man,2016-08-03,good,
150,yuzarsif musaab,2016-08-03,like,
151,saif mahmud,2016-08-03,i m on marshmallow  after install the i try to download a file and make it available offline  i mark it as offline  but i m unable to find that file used file manager  there s no folder in the internal storage  where be you keep that file? it s disointing that there s no option to save a file offline in user prefer location  move permanently to mega co nz ,1.0
152,alex chronic,2016-08-03,cloud agent have stopped!! sammy s4,1.0
153,ram prit,2016-08-02,good,
154,megan schlang,2016-08-02,epic but should have more free storage,
155,vince bronson,2016-08-02,good,
156,michael rossing,2016-08-02,ever since the last update all it want to do be crash,1.0
157,bashar al kadhi,2016-08-02,i m not update the without see what change with the update ,1.0
158,nura zubairu,2016-08-02,nice one keep it on,
159,raaz manish,2016-08-02,niceee,
160,ana arismendi,2016-08-02,i love the fact that all of my photo be safe and i can see them whenever i want ,
161,jan b,2016-08-02,i love this s,
162,fernandez finishing,2016-08-02,buemo,
163,a google user,2016-08-02,the best you can ever have  it s great!!!,
164,vincent sartoris,2016-08-02,delete account go with google net drive,
165,marvin fontenette,2016-08-02,look for a friend,
166,lisa singleton,2016-08-02,ad free and not intrusive,
167,bernard bentil,2016-08-02,lication too tantalising,
168,pokotv,2016-08-02,love it,
169,hansen muaja,2016-08-02,sorry to say  this be once a great   but after the latest update cause error unfortunately cloud agent have stop   i uninstal update then i never get that error anymore  i install the update then that error come back  so i m pretty sure that be cause by latest update  my gadget be samsung galaxy grand 2 ,1.0
170,aye naing,2016-08-02,good  ,
171,douglas azambuja,2016-08-02,sou obrigado a ter instalado esse aplicativo no celular,
172,justin briones,2016-08-02,y y,
173,lester butts,2016-08-02,love it!,
174,travis mulenga,2016-08-02,awesome when you pay,
175,fredrick mutebi,2016-08-02,the only way to store your stuff securely online ,
176,corey coon,2016-08-02,screw up my phone,1.0
177,john andreyo,2016-08-02,no longer work cloudagent message  please fix!,1.0
178,nisha agarwal,2016-08-02,good,
179,niladri banerjee,2016-08-02,this should allow other account to be viewed ,2.0
180,cesar espinosa,2016-08-02,la mejor nube que he probado tanto en su funcionamiento en el pc como en el m  vil y la tablet ,
181,joey candle li,2016-08-02,i m jux try,
182,pranai rai,2016-08-02,recent update of no help  please fix the bug  hopefully i ll change my rating ,1.0
183,mahdi saharkhiz,2016-08-02,very good,
184,thanh liem ha,2016-08-02,good,
185,eddy gathendu,2016-08-02,perfect,
186,hemant shinde,2016-08-02,i,
187,derrick mavuso,2016-08-02,derrick mavuso,
188,michael theodore,2016-08-02,i have used it for year without any problems  it do what it be suppose to do ,
189,sunil vats,2016-08-02,really helpful,
190,clarissa vincent,2016-08-02,on android when save a new thing open in a random folder and i cannot navigate to one of my choice only create a new one right there ,2.0
191,sanjeev gupta,2016-08-02,good,
192,m s singh singh,2016-08-02,love,
193,phuong do,2016-08-02,you save my work a lot  my partner and i get smoothly connect with   thank you ,
194,amira syed,2016-08-02,it s amazing ,
195,mayu chan,2016-08-02,i need to upload an entire album altogether  i have near 2k picturesvideo and the one i m try to backup be burry under newer files  it would take forever to scroll for them l,1.0
196,tommy white,2016-08-02,like it alot,
197,cheryl barron,2016-08-02,easy to use ,
198,nizam s,2016-08-02,nyx,
199,rh ridoy,2016-08-02,its help us very much,
200,muhy abdullahi,2016-08-02,the ease of use be just amazing and the interconnectivity with other s be also very impressive,
201,siva prakash,2016-08-02,excellent,
202,a google user,2016-08-02,good,
203,janaka wijekoon,2016-08-02,nice lication  ,
204,jocelyne poirier,2016-08-02,journal intime,
205,amir hossein sari,2016-08-02,i love this   i be a university lecturer  i use it to share every lecture note and file film book etc  to my students  they be very hy with it ,
206,professor coolguy,2016-08-02,it help me and my homework,
207,ter nit,2016-08-02,ok,
208,fawzi saffori,2016-08-02,exlant,
209,tjendra chen,2016-08-02,it s like a poop,
210,sathish balaji,2016-08-02,i be not get update on oneplus 2 mobile   pls fix it,1.0
211,mahamod pinto,2016-08-02,wow it s really good ,
212,masagung hadi,2016-08-02,now a lot of simillar product available but this one still legend  easy to use simple ui ,
213,win cho,2016-08-02,j7,
214,mustafa waheed,2016-08-02,best server for all my file,1.0
215,debbie armentor,2016-08-02,let s me share with everyone at one time ,
216,naveen guntuku,2016-08-02,superb,
217,yash rana,2016-08-02,love this,
218,shanelle roberts,2016-08-02,love how easy the be to use regardless of what device i m on ,
219,dedi supriatna,2016-08-02,good,
220,shravan sadh,2016-08-02,director,
221,our universe,2016-08-02,i cant explain what this do for me i really love it,
222,swetha h m,2016-08-02,good,
223,zayzayprettystyle morgan,2016-08-02,get nothing to say i just love it,
224,bhaskar pal,2016-08-02,i use this,
225,abigail coronado,2016-08-02,awesome,
226,paul romano,2016-08-02,this be awlsome,
227,mubark al taiyah,2016-08-02,doesn t work,1.0
228,phoenix gamer santos,2016-08-02,hi there be no longer be used this,
229,veronica williams,2016-08-02,great,
230,aryan srivastava,2016-08-02,awesome,
231,mustapha mozaii,2016-08-02,super,
232,connor marston,2016-08-02,when i try to uninstall it i have to update it when i already have what the fuck,1.0
233,suvham kumar,2016-08-02,best cloud storage and very good user friendly and less automatic option thank goodness  i like it  i just want a dark ui to enjoy the ui ,2.0
234,ahmed sa,2016-08-02,i prefer this on many other cloud,1.0
235,faisal aycan,2016-08-02,good,
236,abby ryan,2016-08-02,easy to use,
237,maggie govender,2016-08-02,i like this,
238,linda murray,2016-08-02,since update it seem to have corrupt the link my samsung device cloud agent and it s no longer let me view file in my gallery  gut be their a fix for this?,1.0
239,butter cup,2016-08-02,it would be easier to move the picture to file you make if you have an option to select multiple instead of move them one at a time  i have over 500 pictures ,2.0
240,rajjan dwivedi,2016-08-01,thank for again,
241,ntombi jiyane,2016-08-01,i think all my photo be go  i love all my document and photo be save from drop box thumb up,
242,johnson okunyomi,2016-08-01,i can access my file anytime online,
243,engr gordon monday bubou,2016-08-01,with my document in the cloud i m rest assure i can access any of them anywhere  the best deal be your peace of mind when your system crash or your pc be steal,
244,swapnil wankar,2016-08-01,best,
245,rhonda whitehead,2016-08-01,love this  ,
246,bing tji,2016-08-01,pretty handy,
247,btowm tech,2016-08-01,i love it ,
248,abudi jaan baba jani,2016-08-01,hero   don combo,
249,mdrafeeq raja,2016-08-01,super,
250,arash khani,2016-08-01,be good,
251,rudy feliz,2016-08-01,awesome,
252,mustapha ibraheem,2016-08-01,i been practicing at least nice 3_4years now its superb lication with speeds and efficiently organize so i rate it full time five star5        ,
253,shami mehar,2016-08-01,k,
254,elgin macasaet,2016-08-01,but it lag a littel please fix it i will give 500 doller,1.0
255,swetha jain,2016-08-01,i need 5 gb more,
256,ami swapon,2016-08-01,w,
257,akter hossen99,2016-08-01,coll,
258,jorge garcia,2016-08-01,super useful! great,
259,l kelly,2016-08-01,i m not able to sign in on my computer no matter which browser i use  i really like this and would reciate any help  be used this for a long time  great   keep up the good work dev,1.0
260,sagar khaire,2016-08-01,ok,
261,  eljko   imeg,2016-08-01,solid product,
262,prashant tyagi,2016-08-01,great service,
263,andries kgothatso,2016-08-01,thank,
264,pawan tindal,2016-08-01,gud,
265,manoj gupta,2016-08-01,the one,
266,dedde rachman,2016-08-01,this very beautiful  thanx,
267,lemec chelou,2016-08-01,i was wondering why when i want to post the video from to instagram i can t  i saved my video in and i exported it to my files but when i try to share it on instagram i just can t do it  please answer me with all my respect      luca,
268,android hack games,2016-08-01,great file server,1.0
269,asif ali,2016-08-01,this cleanup its saved account in huawei honor 7 and always require login when you switch between android guest user and admin user,1.0
270,rob shimwell,2016-08-01,clumsy and badly put together,1.0
271,rajesh anavadia,2016-08-01,very easy and any be anytime to see all important documents  thank,
272,foe barz,2016-08-01,has the pikik2 is a jailbreak for kik  u0026amp  it works fine i just wanna say that the fake live camera doesn t work   its not real    ,1.0
273,lenor bradley,2016-08-01,frist give me problem with my password  then want me to download other i don t need ,1.0
274,hi bsjd,2016-08-01,luv it,
275,ivan buljan,2016-08-01,job,
276,amal kerala,2016-08-01,first to install aft phone reset be  and very easy procedure to buy online space for affordable price synce datum be now easy,
277,mr  insanity,2016-08-01,love it  user friendly  very good ,
278,greenboy8000,2016-08-01,if you can t save all your photo to the gallery save it to !,1.0
279,gohil paresh,2016-08-01,phg,
280,mark wray,2016-08-01,don t fall for the free service that be advertise those in purchase that be require to continue its use will really really screw you up there be better way to save your photos  and don t get too deep the more you use this the deeper you dig your grave  wait to you try and retrieve a photo from a year ago and they tell you the transmission fail,1.0
281,robert king,2016-08-01,love it,
282,kasumba martin,2016-08-01,you have to give it a try,1.0
283,megadeth mega,2016-08-01,like it,
284,steve bostwick,2016-08-01,it s great until your subscription get screw up  then nobody at google play can help you and they shrug it off to   horrible customer service !!!!!,
285,shirley boama,2016-08-01,highly efficient    ,
286,bgirlzoul,2016-08-01,i be able to retrieve old photo document and video from my  ,
287,peter steiner,2016-08-01,no info on what s new,
288,jesse moore,2016-08-01,be immensely useful  it allow me to store all my video and photo in one place save room on my device for more which in my biz be necessary to stay a leg up on the competition ,
289,d  lester,2016-08-01,well do and useful,
290,luis rodrigues,2016-08-01,nice one when i lose my phone i get my datum on this thank,
291,michael florentine,2016-08-01,this be the cloud i learn to love  used my 2gb trial  u0026amp  upgrade to 50gb after  extremely worth it  upload anything from medium to document on the go  pull them in a flash for presentation  u0026amp  project from any computer tablet or smartphone!! add link to share your stuff with other work wonder even if they don t have this  don t change anything !,
292,randy lee wright,2016-08-01,during open of,
293,dharsan dredging,2016-08-01,good,
294,sharon kent,2016-08-01,love it,
295,jomhel laolao,2016-08-01,this solve my problem in messenger by send file,1.0
296,mary nete,2016-08-01,i just use this for mcpe,
297,beverly ballesteros,2016-08-01,please fix! because i need it to send file in messenger ,1.0
298,julian trejo,2016-08-01,awesome love it,
299,mohit goel,2016-08-01,very good           mohit goel 1225,
300,clifford hoelscher,2016-08-01,great !,
301,barbara yelvington,2016-08-01,photo  u0026amp  music,
302,shyamlata bansal,2016-08-01,love it,
303,connor taber,2016-08-01,easy simple cloud storage,
304,binod shaw,2016-08-01,h,
305,kimofy support,2016-08-01,mediafire suck,
306,ravinder singh,2016-08-01,dear sir i m unable to copy my contact into my   ,1.0
307,kelly seymour,2016-08-01,i like the idea but it doesn t seem very user friendly,1.0
308,kiran kumar,2016-08-01,most useful i have ever install,
309,yuvraj bansode,2016-08-01,ty,
310,chris l,2016-08-01,awesome   great for over 5 year thank alot,
311,lyndal jo,2016-08-01,take up heap of space on my ph i don t even use it but can t unistall it didn t come with my ph there must be a way please tell me  i can t afford the space it used,1.0
312,steve moore,2016-08-01,i like it,
313,reynaldo palma,2016-08-01,fantastic,
314,majid hussain,2016-08-01,i like it,
315,moe al asali,2016-08-01,awesome ass,
316,chase heenden,2016-07-31,chase,
317,mohit chandak,2016-07-31,lv it,
318,marcellina hacker,2016-07-31,i be used all the time to get video and photo from my phone onto my laptop  recently every time i try to upload more than 3 thing onto the it tell me my datum be break which be not true,1.0
319,anong lee,2016-07-31,but i can t delete the original photo that i don t want them ,1.0
320,                              ,2016-07-31,,
321,aryqa ayuri arjuna,2016-07-31,good,
322,fariz ali,2016-07-31,best,
323,manon sheiman,2016-07-31,please give android user ability to scan docs in  would love to use scan for receipts  also when it auto upload i want to choose folder and label the file  you really ought to have a paid version smaller than 1tb it s too expensive but the free 2gb be too small  otherwise perfect ,
324,rudra bal,2016-07-31,full on packet,
325,gerardo v  zquez,2016-07-31,very good,
326,seirruf malawolski,2016-07-31,have never let me down  always great service  always there  always reliable and have protect me from accidental data loss  thank you ! edit s that update and use the what s new section for anything other than specific suck  1 star,1.0
327,dara phan,2016-07-31,thank,
328,hteenan soesan,2016-07-31,feel,
329,ridhwan shah masbari,2016-07-31,keep ask no connection when login,1.0
330,a google user,2016-07-31,automatic upload be the best way to backup your file pic and music ,
331,harsh bhill,2016-07-31,ranuj,
332,sundar benedict,2016-07-31,ok,
333,manojit duary,2016-07-31,but too low memory capacity,1.0
334,nicolas anano,2016-07-31,useless s,
335,pebh durst,2016-07-31,nice,
336,scout a  loud,2016-07-31,i cannot invite person to share folders  kind of defeat the purpose of this  ,
337,zenzozothando ndlovu,2016-07-31,saved lot of my staff,
338,colin blagdon,2016-07-31,it just work reliably long term outstanding!,
339,a google user,2016-07-31,be an excellent   doesn t use to much battery life when active  keep the enhancement come team!,
340,sanjay humbe,2016-07-31,this be very fantastic  ,
341,gabriele ferrazzano,2016-07-31,android update must be list,1.0
342,anwandek wafula,2016-07-31,good,
343,imran khan,2016-07-31,,
344,alicia lomuntad,2016-07-31,i love it because when i download map in mcpe i use this map  thank u you help me so much to download map,
345,john russell,2016-07-31,can t do without this,1.0
346,junice 794,2016-07-31,upd,
347,ponsah fanap,2016-07-31,this be the best to have your most important file save and you can use it anywhere anytime on any device,
348,tristan oliver,2016-07-31,g,
349,mahbubur johnny,2016-07-31,you guy be offer tiny amount of storage and your competitor be give way more why should i stick with,
350,emmanuel owusu nuama,2016-07-31,i love this,
351,mali brooks,2016-07-31,easy to use and convenient! i can take my docs with me from word to my phone for the moment i need them  drop box be genious!,
352,kenneth barron,2016-07-31,well do super useful integrate well with other s,
353,sajjad ahmad,2016-07-31,it be upload automatically but unfortunately now its not  check  u0026amp  fix ,1.0
354,sevin boralugoda,2016-07-31,best ever,
355,nikola jevtic,2016-07-31,o  k ,
356,a google user,2016-07-31,the preview and the export be download independently that mean twice the bandwidth!!! and that s uneconomic and absurd ,1.0
357,noridah ibrahim,2016-07-31,but i cant donwload,1.0
358,clifford shields,2016-07-31,love it,
359,amit mridha,2016-07-31,it s awesome ,
360,ashish bhargav,2016-07-31,i love it,
361,p mogan nair,2016-07-31,nd,
362,tawanna johnson,2016-07-31,loyal,
363,shariq waqar,2016-07-31,fast efficient and enough initial space to store our memorable moment,
364,conrad kleinespel,2016-07-31,work great on a nexus 5x  love that it include photo backup ,
365,jujubean206,2016-07-31,love this !!!!,
366,countess capp,2016-07-31,why why why can t this automatically save to the cloud the same photo in the same album as they be on my phone? my photo be save to the cloud but unlike on my phone they re totally disorganized on by date or hashtags  not very useful for me  i would have to spend many hour organize them as i already do on my phone  pitiful! arrrggghhh!,1.0
367,archie galway,2016-07-31,make recent private please,
368,dee rhodie,2016-07-31,important video,
369,mahesh kandhaswamy,2016-07-31,this make my life easier and give peace of mind in term of datum storage   thank for developer,
370,ankitsimran bhandari,2016-07-31,something wron,
371,michel atucha tarafa,2016-07-31,!,
372,tony holtrust,2016-07-31,i like that s it s so user friendly and load from my s5 hot spot almost immediately   my polaris office cloud isn t nearly as fast ,1.0
373,erik cool erik,2016-07-31,hi,
374,ahmed jaangoan,2016-07-31,yeah what it be,
375,sally squire,2016-07-31,it be so convenient,
376,                          ,2016-07-31,good,
377,sanyang dawda,2016-07-31,cool as ice,
378,trevor erich von kaschke,2016-07-31,lekker sweet,
379,isaac abeyta,2016-07-31,very informations,
380,manuel gurdian,2016-07-31,when try to get picture from photo it doesn t work i get only a lot of the same picture of unknown origin and doesn t show my pictures  basically it can t upload photos ,1.0
381,david york,2016-07-31,i use this across multiple device and it be a fantastic way to maintain control of my document,
382,romel v  rosal,2016-07-31,all file and document camcoder,
383,margaret millar,2016-07-31,easy access and only one device keep all record updated ,
384,eng mohamed mamdouh,2016-07-31,google drive is much easier and faster             ,
385,bonnie nicholson,2016-07-31,love see my picture on all my devices ,
386,sherina juanetta tanujaya,2016-07-31,be better!,
387,bruce kola,2016-07-31,thank,
388,silvia martins,2016-07-30,love this   it save room on my cell   i can delete it from my cell anytime  u0026amp  still have my pic,
389,frank whitson,2016-07-30,whitson remodel inc,
390,ailsa powell,2016-07-30,very useful,
391,stephanie kawaidesu,2016-07-30,used to be that when selecting files or photos to post or share you could select and post one then reopen and it opened right at the place you left  now it defaults every time is opened to wherever you were within when the was updated last year  there have been many updates since but none have fixed this       it is extremely aggravating because my hened to be open to a file folder i use very seldom and it is many many steps to navigate to the files i use regularly ,1.0
392,seriosbrad,2016-07-30,this review be as useful to as their patch note be to us not at all useful  ,
393,umesh koli,2016-07-30,good aap,
394,casey braunger,2016-07-30,i use to transfer music track with my band mate but when listen to the wav file on the mobile they almost always just stop at random spots  very rarely do a song play all the way through  extremely frustrating ,
395,                   ,2016-07-30,goof     ,
396,david green,2016-07-30,very handy for the transfer of content between desktop pc and mobile ,
397,daniel musa goyo,2016-07-30,i get to my file ok but not so quickly and sometimes not atal can be due to poor network though ,
